CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,120.61538696289062,140.0,"[26.544048309326172, 16.55450439453125, 20.43612289428711, 30.58493423461914, 27.4545841217041, 19.914901733398438, 31.017610549926758, 23.68618392944336, 21.758466720581055, 23.68618392944336, 22.45445442199707, 25.715450286865234, 23.68618392944336]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,113.16666412353516,126.0,"[28.951566696166992, 15.426948547363281, 22.26578140258789, 33.36771774291992, 21.691675186157227, 33.85972213745117, 25.826814651489258, 23.732646942138672, 25.826814651489258, 24.481231689453125, 28.059471130371094, 25.826814651489258]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,100.33333587646484,112.0,"[29.777416229248047, 13.184386253356934, 22.870708465576172, 34.31269836425781, 22.264007568359375, 34.89103317260742, 26.562740325927734, 24.460039138793945, 26.562740325927734, 25.182876586914062, 28.91261863708496, 26.562740325927734]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,91.0,98.0,"[23.408245086669922, 12.305951118469238, 17.984617233276367, 26.96566390991211, 17.506162643432617, 27.430261611938477, 20.885845184326172, 19.243715286254883, 20.885845184326172, 19.803800582885742, 22.737607955932617, 20.885845184326172]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,77.0,84.0,"[27.760726928710938, 11.494169235229492, 21.349010467529297, 31.965187072753906, 20.78285026550293, 32.51719284057617, 24.779315948486328, 15.913456916809082, 24.779315948486328, 23.500547409057617, 26.970163345336914, 24.779315948486328]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,72.54545593261719,70.0,"[18.24976348876953, 8.021775245666504, 14.060863494873047, 20.99791145324707, 13.691638946533203, 21.355161666870117, 16.301305770874023, 16.301305770874023, 15.465368270874023, 17.73048210144043, 16.301305770874023]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,52.181819915771484,56.0,"[28.056230545043945, 15.23459243774414, 21.603233337402344, 32.28659439086914, 21.032838821411133, 32.84519577026367, 25.056196212768555, 25.056196212768555, 23.769638061523438, 27.26302719116211, 25.056196212768555]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,44.54545593261719,42.0,"[22.320972442626953, 15.738394737243652, 17.203962326049805, 25.662334442138672, 16.74054527282715, 26.177146911621094, 19.97285270690918, 19.97285270690918, 18.937246322631836, 21.71248435974121, 19.97285270690918]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,32.20000076293945,28.0,"[24.98589324951172, 17.672348022460938, 19.2132568359375, 28.72479820251465, 18.67990493774414, 29.36448860168457, -1.1977953910827637, 21.19111442565918, 24.384275436401367, 22.324756622314453]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,19.600000381469727,14.0,"[27.633464813232422, 19.557212829589844, 21.308677673339844, 29.642822265625, 20.74234390258789, 26.18667221069336, -21.18301010131836, 15.751179695129395, 26.886337280273438, 24.700153350830078]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,15.399999618530273,14.0,"[19.1180362701416, 18.319416046142578, 19.995988845825195, 17.719045639038086, 17.127634048461914, 19.116619110107422, -46.88530731201172, 4.8289618492126465, 25.196243286132812, 0.569221019744873]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,10.5,14.0,"[17.422273635864258, 5.119650840759277, 13.417561531066895, 20.46609878540039, -0.7591309547424316, 1.119143009185791, 35.13070297241211, -1.9540139436721802]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,11.199999809265137,14.0,"[20.246353149414062, 17.734560012817383, 12.220192909240723, 25.61232566833496, -37.53410720825195]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
-1,-1,0.0,0.0,[-10.183868408203125],2023-07-03T00:00:00.000000000,['USA']
-1,-1,-1,-1,[],2023-07-17T00:00:00.000000000,[]
