CF1,f11,MAE1,MAE2,pred,date,countries
"[[46  5]
 [33  3]]",0.42202797532081604,109.86111450195312,119.0,"[0.6446759700775146, 0.6901183128356934, 0.6446759700775146, 1.8712942600250244, 0.6609172224998474, 0.6650632619857788, 0.7110826373100281, 0.633446455001831, 0.6650632619857788, 0.7357308268547058, 0.7278115749359131, 0.753582775592804, 2.8966052532196045, 0.6720569133758545, 0.6446759700775146, 0.6845521926879883, 0.6446759700775146, 0.6225111484527588, 0.7359303832054138, 0.6148694157600403, 0.7147490382194519, 0.6446759700775146, 0.6983556747436523, 0.6650632619857788, 0.6650632619857788, 0.633446455001831, 0.6499050259590149, 0.6650632619857788, 0.6529990434646606, 0.6677923202514648, 0.6319864988327026, 0.6433695554733276, 0.6822506189346313, 0.6650632619857788, 0.6529990434646606, 0.7817496061325073]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [26 10]]",0.5523155927658081,71.55555725097656,77.0,"[36.13291549682617, 3.6876256465911865, 36.125247955322266, 26.7034969329834, 3.4069738388061523, 3.446432590484619, 3.873476266860962, 3.148569345474243, 82.59521484375, 4.100874900817871, 4.052462577819824, 4.308050155639648, 9.914477348327637, 29.8303165435791, 3.2612571716308594, 3.6355574131011963, 3.246173858642578, 3.023216485977173, 4.120455265045166, 2.9615440368652344, 3.904189348220825, 3.2612571716308594, 30.60133171081543, 3.446432590484619, 82.59521484375, 22.79366111755371, 3.3030197620391846, 82.59521484375, 3.3291890621185303, 3.459533452987671, 3.106780529022217, 7.5492448806762695, 3.600175380706787, 3.446432590484619, 3.3291890621185303, 2.046988010406494]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[32 19]
 [ 2 34]]",0.7584930658340454,41.0,42.0,"[57.06569290161133, 63.89389419555664, 78.80068969726562, 55.82497787475586, 94.46550750732422, 53.99224853515625, 10.028270721435547, 38.353851318359375, 102.86054992675781, 37.88544464111328, 113.1603775024414, 102.43130493164062, 59.8802604675293, 69.08132934570312, 86.94078063964844, 71.34703063964844, 6.3081207275390625, 82.61886596679688, 16.04242515563965, 71.41177368164062, 40.897987365722656, 46.21721649169922, 82.29890441894531, 6.753376483917236, 102.86054992675781, 55.68918991088867, 44.90036392211914, 102.86054992675781, 64.33097076416016, 52.67168045043945, 75.53608703613281, 52.95101547241211, 33.885894775390625, 97.58162689208984, 44.24174118041992]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[32 19]
 [ 2 34]]",0.7584930658340454,37.47058868408203,21.0,"[51.260643005371094, 51.83022689819336, 70.06830596923828, 24.056791305541992, 83.72205352783203, 48.697044372558594, 118.10437774658203, 22.84935760498047, 91.01189422607422, 36.20375061035156, 98.69432830810547, 90.06128692626953, 61.78331756591797, 77.13825988769531, 53.68531036376953, 9.855180740356445, 73.24710845947266, 96.29154968261719, 63.520668029785156, 38.416927337646484, 41.87588882446289, 73.38772583007812, 10.579986572265625, 91.01189422607422, 49.98591613769531, 28.329757690429688, 91.01189422607422, 57.585845947265625, 47.548805236816406, 63.48243713378906, 47.66519546508789, 31.606422424316406, 86.37745666503906, 36.08066177368164]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,41.17647171020508,35.0,"[77.17140197753906, 99.99534606933594, 105.69500732421875, 75.32284545898438, 126.38848114013672, 73.3044204711914, -11.241819381713867, 80.29315185546875, 137.44033813476562, 56.89298629760742, 155.2540283203125, 140.4560546875, 93.16293334960938, 116.38151550292969, 119.61993408203125, 17.169479370117188, 110.52163696289062, -1.5155327320098877, 95.75286865234375, 59.48054122924805, 62.9349479675293, 110.73008728027344, 18.489652633666992, 137.44033813476562, 75.26861572265625, 89.87993621826172, 137.44033813476562, 86.77371215820312, 71.59087371826172, 110.18022155761719, 71.75650024414062, 47.3100700378418, 130.41265869140625, 60.265995025634766]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,45.911766052246094,35.0,"[70.9200210571289, 81.914306640625, 96.70625305175781, 45.1446418762207, 115.50536346435547, 67.57732391357422, 162.89657592773438, 50.99076843261719, 125.53453063964844, 52.24516296386719, 138.8018341064453, 127.07546997070312, 85.39285278320312, 106.4065170288086, 90.40699005126953, 21.152616500854492, 101.03207397460938, 133.471923828125, 87.63345336914062, 54.516361236572266, 58.5591926574707, 101.88817596435547, 22.781452178955078, 125.53453063964844, 69.08882141113281, 59.09990692138672, 125.53453063964844, 80.07025146484375, 66.30482482910156, 93.66166687011719, 66.62857055664062, 46.787296295166016, 119.13744354248047, 52.92723846435547]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,30.545454025268555,28.0,"[56.20340347290039, 72.013427734375, 74.41280364990234, 54.248779296875, 88.36796569824219, 54.354042053222656, -227.10501098632812, 57.85165786743164, 95.37704467773438, 42.387882232666016, 108.64309692382812, 99.7590560913086, 67.12229919433594, 81.30191040039062, 84.61314392089844, 18.574420928955078, 77.17494201660156, -167.94886779785156, 67.24267578125, 44.42792892456055, 47.19649887084961, 79.07760620117188, 19.909282684326172, 95.37704467773438, 54.64760971069336, 64.40717315673828, 95.37704467773438, 62.865379333496094, 53.34063720703125, 77.17034912109375, 52.72339630126953, 90.8134536743164, 45.234012603759766]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[42  9]
 [ 4 32]]",0.8485741019248962,48.787879943847656,42.0,"[68.02195739746094, 77.57955932617188, 92.73697662353516, 45.54344940185547, 110.70769500732422, 64.6837387084961, 155.96835327148438, 48.23236846923828, 120.2945327758789, 49.25617980957031, 132.84060668945312, 121.10585021972656, 81.89020538330078, 102.03231048583984, 86.01654815673828, 22.94809341430664, 96.8771743774414, 127.3427963256836, 84.08555603027344, 51.89002227783203, 55.689979553222656, 97.1867904663086, 24.61501121520996, 120.2945327758789, 66.32440948486328, 55.953617095947266, 120.2945327758789, 76.3462142944336, 63.17560958862305, 89.57682037353516, 63.29001998901367, 114.18456268310547, 50.54365539550781]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,27.066667556762695,21.0,"[51.96434783935547, 52.795494079589844, 69.48116302490234, 22.643966674804688, 76.25079345703125, 50.20957946777344, 31.85272789001465, 89.76011657714844, 40.40977478027344, 82.31834411621094, 83.06832885742188, 61.95677185058594, 37.586402893066406, 24.9956111907959, 65.2762222290039, -53.87925720214844, 63.06446075439453, 41.820274353027344, 43.65037536621094, 73.64476776123047, 26.750839233398438, 89.76011657714844, 50.508148193359375, 37.34291076660156, 89.76011657714844, 50.26551055908203, 49.28656005859375, 54.61701202392578, 48.73352813720703, 37.461952209472656]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[40 11]
 [ 4 32]]",0.8261159062385559,42.233333587646484,35.0,"[62.87411117553711, 70.77637481689453, 85.40198516845703, 42.19704055786133, 101.74503326416016, 59.80680465698242, 44.39697265625, 110.47370910644531, 50.3872184753418, 121.67481994628906, 110.93639373779297, 75.48493957519531, 93.85379791259766, 37.687564849853516, 89.21912384033203, 116.7956314086914, 77.56293487548828, 50.5818977355957, 51.63136672973633, 89.36163330078125, 40.56017303466797, 110.47370910644531, 61.36489486694336, 51.319664001464844, 110.47370910644531, 70.4522933959961, 58.44353485107422, 82.25936889648438, 58.585514068603516, 46.560874938964844]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
