CF1,f11,MAE1,MAE2,pred,date,countries
"[[79.  2.]
 [ 3.  3.]]",0.7573898434638977,-1,-1,"[[0.678932249546051], [0.08859078586101532], [0.12257486581802368], [0.06527383625507355], [0.10533660650253296], [0.14682058990001678], [0.09385372698307037], [0.0885908305644989], [0.9040890336036682], [0.1394071877002716], [0.07858458161354065], [0.1124391108751297], [0.03742260858416557], [0.6902652382850647], [0.011380020529031754], [0.37733715772628784], [0.1273404359817505], [0.14333057403564453], [0.08751605451107025], [0.13614997267723083], [0.08859078586101532], [0.5017236471176147], [0.027374953031539917], [0.08859078586101532], [0.023179875686764717], [0.04225711151957512], [0.04012204334139824], [0.03503274545073509], [0.08859078586101532], [0.10485813766717911], [0.08859078586101532], [0.08462216705083847], [0.08859078586101532], [0.08859078586101532], [0.04289575293660164], [0.06727106869220734], [0.13618528842926025], [0.0885908305644989], [0.0718323215842247], [0.08859078586101532], [0.03742260858416557], [0.10533660650253296], [0.02760263904929161], [0.0885908305644989], [0.03143125772476196], [0.11585329473018646], [0.04334171116352081], [0.08859078586101532], [0.08859078586101532], [0.03153298795223236], [0.08875704556703568], [0.15429678559303284], [0.08859078586101532], [0.08859078586101532], [0.03298018500208855], [0.08875704556703568], [0.21106137335300446], [0.0872425064444542], [0.3933861255645752], [0.1394071877002716], [0.023520637303590775], [0.13618528842926025], [0.06636140495538712], [0.09998911619186401], [0.08859078586101532], [0.10533660650253296], [0.08859078586101532], [0.10314730554819107], [0.07614978402853012], [0.11082479357719421], [0.0885908305644989], [0.08859078586101532], [0.10036720335483551], [0.14682058990001678], [0.8602030277252197], [0.06774213910102844], [0.09067388623952866], [0.12725012004375458], [0.09092243015766144], [0.08859078586101532], [0.058167461305856705], [0.08859078586101532], [0.06636140495538712], [0.035423923283815384], [0.10533660650253296], [0.10036720335483551], [0.0826544389128685]]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78.  3.]
 [ 2.  4.]]",0.7921643853187561,-1,-1,"[[0.7761638164520264], [0.03750086575746536], [0.057136766612529755], [0.02491374872624874], [0.048191290348768234], [0.07547781616449356], [0.040460653603076935], [0.03750086575746536], [0.8754567503929138], [0.07116192579269409], [0.0312604121863842], [0.04894839599728584], [0.012807473540306091], [0.7782205939292908], [0.0024166498333215714], [0.7431047558784485], [0.059655021876096725], [0.07039909064769745], [0.0399373322725296], [0.06860680878162384], [0.03750086575746536], [0.7374885678291321], [0.008900878019630909], [0.03750086575746536], [0.007043576333671808], [0.013904215767979622], [0.013876587152481079], [0.010535362176597118], [0.03750086575746536], [0.04787333309650421], [0.03750086575746536], [0.037784602493047714], [0.03750086575746536], [0.03750086575746536], [0.013167191296815872], [0.027131976559758186], [0.06438051909208298], [0.03750086575746536], [0.028125198557972908], [0.03750086575746536], [0.012807473540306091], [0.048191290348768234], [0.00886871013790369], [0.03750086575746536], [0.01058405265212059], [0.05705895274877548], [0.013070200569927692], [0.03750086575746536], [0.03750086575746536], [0.009927326813340187], [0.042191412299871445], [0.0805881917476654], [0.03750086575746536], [0.03750086575746536], [0.010989611968398094], [0.042191412299871445], [0.49249279499053955], [0.03616568073630333], [0.7435027360916138], [0.07116192579269409], [0.00709579000249505], [0.06438051909208298], [0.024771293625235558], [0.04627874493598938], [0.03750086575746536], [0.048191290348768234], [0.03750086575746536], [0.04859275743365288], [0.03300436958670616], [0.05026467144489288], [0.03750086575746536], [0.03750086575746536], [0.044595036655664444], [0.07547780871391296], [0.8507870435714722], [0.0276792049407959], [0.04228620603680611], [0.06357964128255844], [0.04106225445866585], [0.03750086575746536], [0.022470613941550255], [0.03750086575746536], [0.024771293625235558], [0.01155359111726284], [0.048191290348768234], [0.044595036655664444], [0.03665924444794655]]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[80.  1.]
 [ 5.  1.]]",0.6069276928901672,-1,-1,"[[0.4088015556335449], [0.17745858430862427], [0.20564104616641998], [0.1535230278968811], [0.1936677247285843], [0.22624263167381287], [0.18226265907287598], [0.17745861411094666], [0.725530207157135], [0.22163762152194977], [0.16650256514549255], [0.19504308700561523], [0.12048203498125076], [0.4138071835041046], [0.06348104029893875], [0.18286751210689545], [0.20877909660339355], [0.22105684876441956], [0.18109972774982452], [0.21887987852096558], [0.17745858430862427], [0.24894565343856812], [0.10495178401470184], [0.17745858430862427], [0.09600578993558884], [0.12438517808914185], [0.12410160154104233], [0.11239928007125854], [0.17745858430862427], [0.19322329759597778], [0.17745858430862427], [0.17765073478221893], [0.17745858430862427], [0.17745858430862427], [0.12207519263029099], [0.1580991894006729], [0.21443337202072144], [0.17745861411094666], [0.16032341122627258], [0.17745858430862427], [0.12048203498125076], [0.1936677247285843], [0.10486026108264923], [0.17745861411094666], [0.11213082820177078], [0.2051965296268463], [0.12187666445970535], [0.17745858430862427], [0.17745858430862427], [0.10968156158924103], [0.1843278706073761], [0.23141728341579437], [0.17745858430862427], [0.17745858430862427], [0.11383718997240067], [0.1843278706073761], [0.19677558541297913], [0.17527185380458832], [0.18734711408615112], [0.22163762152194977], [0.0963187962770462], [0.21443337202072144], [0.15330688655376434], [0.19082261621952057], [0.17745858430862427], [0.1936677247285843], [0.17745858430862427], [0.19406796991825104], [0.1693572998046875], [0.196648508310318], [0.17745861411094666], [0.17745858430862427], [0.18854792416095734], [0.22624263167381287], [0.7926772236824036], [0.15918760001659393], [0.18472442030906677], [0.21293088793754578], [0.18296991288661957], [0.17745858430862427], [0.14778588712215424], [0.17745858430862427], [0.15330688655376434], [0.11609496921300888], [0.19366773962974548], [0.18854793906211853], [0.1756300926208496]]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81.  0.]
 [ 6.  0.]]",0.4821428656578064,-1,-1,"[[0.13674376904964447], [0.0845501646399498], [0.11148007214069366], [0.06465528160333633], [0.09933456033468246], [0.12951457500457764], [0.08887074887752533], [0.0845501646399498], [0.11870353668928146], [0.12533563375473022], [0.07527031004428864], [0.10134538263082504], [0.04120006784796715], [0.1406414955854416], [0.013279303908348083], [0.08107568323612213], [0.1144377589225769], [0.1251075565814972], [0.08715224266052246], [0.12292695045471191], [0.0845501646399498], [0.14089800417423248], [0.031877610832452774], [0.0845501646399498], [0.027213605120778084], [0.0439874567091465], [0.0435284785926342], [0.03670313581824303], [0.0845501646399498], [0.09891402721405029], [0.0845501646399498], [0.08417148888111115], [0.0845501646399498], [0.0845501646399498], [0.04271283745765686], [0.0679672509431839], [0.11940108239650726], [0.0845501646399498], [0.07008612155914307], [0.0845501646399498], [0.04120006784796715], [0.09933456033468246], [0.031889475882053375], [0.0845501646399498], [0.03596830740571022], [0.1102503165602684], [0.042773399502038956], [0.0845501646399498], [0.0845501646399498], [0.03485546633601189], [0.0894777923822403], [0.13421060144901276], [0.0845501646399498], [0.0845501646399498], [0.03709430247545242], [0.0894777923822403], [0.09848500788211823], [0.08274633437395096], [0.08496419340372086], [0.12533563375473022], [0.027416346594691277], [0.11940108239650726], [0.06465720385313034], [0.09635929018259048], [0.0845501646399498], [0.09933455288410187], [0.0845501646399498], [0.09937568753957748], [0.07697692513465881], [0.10246264189481735], [0.0845501646399498], [0.0845501646399498], [0.09460248053073883], [0.12951457500457764], [0.20417781174182892], [0.06876520812511444], [0.0903470441699028], [0.11743150651454926], [0.08903145790100098], [0.0845501646399498], [0.059988051652908325], [0.0845501646399498], [0.06465720385313034], [0.03862928971648216], [0.09933455288410187], [0.09460248053073883], [0.08212650567293167]]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[80.  1.]
 [ 5.  1.]]",0.6069276928901672,-1,-1,"[[0.35578453540802], [0.17769448459148407], [0.20093968510627747], [0.16179591417312622], [0.19041983783245087], [0.2704048752784729], [0.2267313450574875], [0.17769448459148407], [0.5559095144271851], [0.2657672166824341], [0.1691792607307434], [0.1952534019947052], [0.12870432436466217], [0.36681079864501953], [0.1231001541018486], [0.1902318149805069], [0.20368951559066772], [0.22045372426509857], [0.17881986498832703], [0.23830237984657288], [0.17769448459148407], [0.25026729702949524], [0.1141333058476448], [0.17769448459148407], [0.10657022893428802], [0.14627385139465332], [0.1320093423128128], [0.16092722117900848], [0.17769448459148407], [0.19007323682308197], [0.17769448459148407], [0.1762695610523224], [0.17769448459148407], [0.17769448459148407], [0.22860835492610931], [0.16573643684387207], [0.2086372822523117], [0.17769448459148407], [0.17215262353420258], [0.17769448459148407], [0.12870432436466217], [0.19041983783245087], [0.11436422914266586], [0.17769448459148407], [0.12056053429841995], [0.21734406054019928], [0.181364044547081], [0.17769448459148407], [0.17769448459148407], [0.11985839158296585], [0.21628884971141815], [0.2624147832393646], [0.17769448459148407], [0.17769448459148407], [0.1226242333650589], [0.21628884971141815], [0.19568607211112976], [0.17626485228538513], [0.19434596598148346], [0.2657672166824341], [0.1070861890912056], [0.2086372822523117], [0.15836261212825775], [0.18740272521972656], [0.17769448459148407], [0.19041983783245087], [0.17769448459148407], [0.19630466401576996], [0.16940301656723022], [0.19914895296096802], [0.17769448459148407], [0.17769448459148407], [0.1865849494934082], [0.2704048752784729], [0.6101459264755249], [0.18117724359035492], [0.18657521903514862], [0.2815259099006653], [0.1808754950761795], [0.17769448459148407], [0.15217679738998413], [0.17769448459148407], [0.15836261212825775], [0.12543414533138275], [0.19041982293128967], [0.1865849494934082], [0.17560243606567383]]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81.  0.]
 [ 6.  0.]]",0.4821428656578064,-1,-1,"[[0.25600817799568176], [0.21351704001426697], [0.23316408693790436], [0.19634990394115448], [0.22428545355796814], [0.2459012120962143], [0.2168993353843689], [0.21351704001426697], [0.24885578453540802], [0.24261616170406342], [0.2062162607908249], [0.22690193355083466], [0.16960836946964264], [0.25896182656288147], [0.11937092244625092], [0.21385112404823303], [0.23546577990055084], [0.24345646798610687], [0.21430659294128418], [0.2409278303384781], [0.21351704001426697], [0.2573668956756592], [0.15561725199222565], [0.21351704001426697], [0.14825209975242615], [0.17414118349552155], [0.172712504863739], [0.16489318013191223], [0.21351704001426697], [0.2239946871995926], [0.21351704001426697], [0.2121441513299942], [0.21351704001426697], [0.21351704001426697], [0.17317910492420197], [0.19877921044826508], [0.23958820104599], [0.21351704001426697], [0.20145602524280548], [0.21351704001426697], [0.16960836946964264], [0.22428545355796814], [0.15587449073791504], [0.21351704001426697], [0.16181454062461853], [0.23107890784740448], [0.17384883761405945], [0.21351704001426697], [0.21351704001426697], [0.16129647195339203], [0.21498066186904907], [0.249301478266716], [0.21351704001426697], [0.21351704001426697], [0.16384024918079376], [0.21498066186904907], [0.22562049329280853], [0.21232441067695618], [0.2172233760356903], [0.24261616170406342], [0.1487879753112793], [0.23958820104599], [0.1967526078224182], [0.22167284786701202], [0.21351704001426697], [0.22428545355796814], [0.21351704001426697], [0.22371527552604675], [0.20620639622211456], [0.22691881656646729], [0.21351704001426697], [0.21351704001426697], [0.22107677161693573], [0.2459011822938919], [0.30321556329727173], [0.19934958219528198], [0.21658575534820557], [0.23566381633281708], [0.21611370146274567], [0.21351704001426697], [0.19109921157360077], [0.21351704001426697], [0.1967526078224182], [0.16658928990364075], [0.22428545355796814], [0.22107677161693573], [0.20997337996959686]]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[80.  1.]
 [ 6.  0.]]",0.4790419042110443,-1,-1,"[[0.2513466775417328], [0.169592022895813], [0.1850961595773697], [0.15641404688358307], [0.17758525907993317], [0.1943817436695099], [0.17222587764263153], [0.16959205269813538], [0.42728179693222046], [0.19159559905529022], [0.16432654857635498], [0.18091730773448944], [0.13500311970710754], [0.25428032875061035], [0.0982077345252037], [0.1708037406206131], [0.18704931437969208], [0.19319675862789154], [0.16885344684123993], [0.19036853313446045], [0.169592022895813], [0.20454177260398865], [0.1235315129160881], [0.169592022895813], [0.11825493723154068], [0.13953201472759247], [0.13751643896102905], [0.1328912377357483], [0.169592022895813], [0.17736932635307312], [0.169592022895813], [0.16737420856952667], [0.169592022895813], [0.169592022895813], [0.13949158787727356], [0.15756243467330933], [0.19055384397506714], [0.16959205269813538], [0.1604326069355011], [0.169592022895813], [0.13500311970710754], [0.17758525907993317], [0.12398166209459305], [0.16959205269813538], [0.12835213541984558], [0.18209612369537354], [0.1406531184911728], [0.169592022895813], [0.169592022895813], [0.12912718951702118], [0.16818372905254364], [0.1970803141593933], [0.169592022895813], [0.169592022895813], [0.1303572952747345], [0.16818372905254364], [0.17963317036628723], [0.16893820464611053], [0.17366212606430054], [0.19159559905529022], [0.11885916441679001], [0.19055384397506714], [0.15715856850147247], [0.17504681646823883], [0.169592022895813], [0.17758524417877197], [0.169592022895813], [0.17649544775485992], [0.16274137794971466], [0.18009652197360992], [0.16959205269813538], [0.169592022895813], [0.17532776296138763], [0.1943817436695099], [0.5877030491828918], [0.1578291803598404], [0.17043240368366241], [0.18523281812667847], [0.17063617706298828], [0.169592022895813], [0.15162917971611023], [0.169592022895813], [0.15715856850147247], [0.13313047587871552], [0.17758524417877197], [0.17532776296138763], [0.1651279628276825]]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[80.  1.]
 [ 3.  3.]]",0.787804901599884,-1,-1,"[[0.9763796925544739], [0.3110291659832001], [0.32934191823005676], [0.2947763502597809], [0.3207222819328308], [0.3402479887008667], [0.3142000138759613], [0.3110291659832001], [0.9454140663146973], [0.33713650703430176], [0.3044813275337219], [0.3242187201976776], [0.322587788105011], [0.9765086770057678], [0.21449202299118042], [0.3368798792362213], [0.33155763149261475], [0.3386600911617279], [0.31060096621513367], [0.3356984257698059], [0.3110291659832001], [0.36780035495758057], [0.25215086340904236], [0.3110291659832001], [0.24464808404445648], [0.27303022146224976], [0.2707176208496094], [0.26402726769447327], [0.3110291659832001], [0.3204629123210907], [0.3110291659832001], [0.30873894691467285], [0.3110291659832001], [0.3110291659832001], [0.272713303565979], [0.2964717447757721], [0.33550745248794556], [0.3110291659832001], [0.29975613951683044], [0.3110291659832001], [0.2674298882484436], [0.3207222819328308], [0.25267308950424194], [0.3110291659832001], [0.25873255729675293], [0.3262965977191925], [0.27399560809135437], [0.3110291659832001], [0.3110291659832001], [0.25933173298835754], [0.31019946932792664], [0.3432992398738861], [0.3110291659832001], [0.3110291659832001], [0.26127758622169495], [0.31019946932792664], [0.32254281640052795], [0.3101441264152527], [0.825989305973053], [0.33713650703430176], [0.2454199194908142], [0.33550745248794556], [0.29555296897888184], [0.3178774416446686], [0.3110291659832001], [0.3207222819328308], [0.3110291659832001], [0.3196479082107544], [0.3030868172645569], [0.3235331177711487], [0.3110291659832001], [0.3110291659832001], [0.31795960664749146], [0.3402479887008667], [0.43564003705978394], [0.296866238117218], [0.31257301568984985], [0.33010128140449524], [0.3126232922077179], [0.3110291659832001], [0.2890084683895111], [0.3110291659832001], [0.29555296897888184], [0.2647567391395569], [0.3207222819328308], [0.31795963644981384], [0.3061971962451935]]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77.  4.]
 [ 0.  6.]]",0.8623417615890503,-1,-1,"[[0.9577122330665588], [0.18923403322696686], [0.2032029777765274], [0.18488949537277222], [0.19630984961986542], [0.26102858781814575], [0.23572775721549988], [0.18923406302928925], [0.9268751740455627], [0.258098304271698], [0.18780925869941711], [0.2063303142786026], [0.7757377624511719], [0.9582774043083191], [0.18260428309440613], [0.8672466278076172], [0.6138669848442078], [0.22121411561965942], [0.19051890075206757], [0.23461781442165375], [0.18923403322696686], [0.8359881043434143], [0.14601938426494598], [0.18923403322696686], [0.14107248187065125], [0.17797985672950745], [0.15954875946044922], [0.2016637772321701], [0.18923403322696686], [0.196119487285614], [0.18923403322696686], [0.18686549365520477], [0.18923403322696686], [0.18923403322696686], [0.2641029357910156], [0.18634407222270966], [0.20818497240543365], [0.18923406302928925], [0.19414784014225006], [0.18923403322696686], [0.15714582800865173], [0.19630984961986542], [0.1465337723493576], [0.18923406302928925], [0.15063820779323578], [0.21871136128902435], [0.21934407949447632], [0.18923403322696686], [0.18923403322696686], [0.15176115930080414], [0.2215254008769989], [0.2510225176811218], [0.18923403322696686], [0.18923403322696686], [0.15268860757350922], [0.2215254008769989], [0.6422224640846252], [0.1887287199497223], [0.8989782929420471], [0.258098304271698], [0.1433190256357193], [0.20818497240543365], [0.17810259759426117], [0.1977376639842987], [0.18923403322696686], [0.19630984961986542], [0.18923403322696686], [0.2053597867488861], [0.18497174978256226], [0.2076573520898819], [0.18923406302928925], [0.18923403322696686], [0.19435839354991913], [0.26102858781814575], [0.7933562397956848], [0.1990579217672348], [0.19655384123325348], [0.2707653343677521], [0.18987222015857697], [0.18923403322696686], [0.17265143990516663], [0.18923403322696686], [0.17810259759426117], [0.15804100036621094], [0.19630984961986542], [0.19435839354991913], [0.1909056305885315]]",2021-03-29T00:00:00.000000000,['Panama']
"[[77.  4.]
 [ 0.  6.]]",0.8623417615890503,-1,-1,"[[0.9781798124313354], [0.1649419516324997], [0.1782100796699524], [0.1533714085817337], [0.1721372753381729], [0.18667738139629364], [0.1672230064868927], [0.1649419516324997], [0.9606188535690308], [0.1844315528869629], [0.160081148147583], [0.17410637438297272], [0.6776919364929199], [0.9785192608833313], [0.10060744732618332], [0.8473591208457947], [0.595426619052887], [0.18514764308929443], [0.16525641083717346], [0.1833098828792572], [0.1649419516324997], [0.8297598958015442], [0.12539170682430267], [0.1649419516324997], [0.12038491666316986], [0.13834652304649353], [0.13722360134124756], [0.13211555778980255], [0.1649419516324997], [0.17194314301013947], [0.1649419516324997], [0.16383050382137299], [0.1649419516324997], [0.1649419516324997], [0.1378055363893509], [0.15489554405212402], [0.1826046258211136], [0.1649419516324997], [0.15683358907699585], [0.1649419516324997], [0.13508683443069458], [0.1721372753381729], [0.12561042606830597], [0.1649419516324997], [0.12965168058872223], [0.17658641934394836], [0.13836655020713806], [0.1649419516324997], [0.1649419516324997], [0.1294908970594406], [0.1655176430940628], [0.18897224962711334], [0.1649419516324997], [0.1649419516324997], [0.13111215829849243], [0.1655176430940628], [0.6385208368301392], [0.16418153047561646], [0.91156005859375], [0.1844315528869629], [0.12078671157360077], [0.1826046258211136], [0.15371370315551758], [0.170296311378479], [0.1649419516324997], [0.1721372753381729], [0.1649419516324997], [0.1716495156288147], [0.15981970727443695], [0.17398452758789062], [0.1649419516324997], [0.1649419516324997], [0.17001433670520782], [0.18667738139629364], [0.8113101124763489], [0.15525278449058533], [0.16676197946071625], [0.1796024888753891], [0.166535884141922], [0.1649419516324997], [0.1497001051902771], [0.1649419516324997], [0.15371370315551758], [0.13309983909130096], [0.1721372902393341], [0.1700143665075302], [0.1622752547264099]]",2021-04-12T00:00:00.000000000,['Panama']
