CF1,f11,MAE1,MAE2,pred,date,countries
"[[48.  2.]
 [34.  3.]]",0.4350649416446686,-1,-1,"[[0.20679467916488647], [0.18180646002292633], [0.22257348895072937], [0.14859816431999207], [0.20509612560272217], [0.8073322176933289], [0.18864209949970245], [0.18180647492408752], [0.1348755955696106], [0.2464015930891037], [0.16639810800552368], [0.20700934529304504], [0.10568378120660782], [0.21208025515079498], [0.4556741714477539], [0.13874143362045288], [0.22719430923461914], [0.24546542763710022], [0.18706975877285004], [0.24227149784564972], [0.18180646002292633], [0.22663122415542603], [0.08694684505462646], [0.18180646002292633], [0.07660128176212311], [0.1105046421289444], [0.11019349843263626], [0.095720574259758], [0.18180646002292633], [0.2044503539800644], [0.18180646002292633], [0.18215186893939972], [0.18180646002292633], [0.18180646002292633], [0.9068662524223328], [0.1548684686422348], [0.23555874824523926], [0.18180647492408752], [0.15787027776241302], [0.18180646002292633], [0.10568378120660782], [0.20509612560272217], [0.08682820200920105], [0.18180647492408752], [0.09549504518508911], [0.22201308608055115], [0.10730399936437607], [0.18180646002292633], [0.18180646002292633], [0.09249987453222275], [0.7385575175285339], [0.2610825300216675], [0.18180646002292633], [0.18180646002292633], [0.09753915667533875], [0.7385575175285339], [0.18425366282463074], [0.1786954402923584], [0.14373986423015594], [0.2464015930891037], [0.07694850862026215], [0.23555874824523926], [0.14828085899353027], [0.2010061889886856], [0.18180646002292633], [0.20509612560272217], [0.18180646002292633], [0.20572076737880707], [0.1704743355512619], [0.2094021886587143], [0.18180647492408752], [0.18180646002292633], [0.1976720243692398], [0.8073322176933289], [0.2570466697216034], [0.15636910498142242], [0.19226601719856262], [0.25831934809684753], [0.18971602618694305], [0.18180646002292633], [0.1409192830324173], [0.18180646002292633], [0.14828085899353027], [0.10025892406702042], [0.20509612560272217], [0.1976720243692398], [0.195999413728714]]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[49.  1.]
 [35.  2.]]",0.4156716465950012,-1,-1,"[[0.34444668889045715], [0.32051199674606323], [0.3589344024658203], [0.28609001636505127], [0.3428042531013489], [0.5599583387374878], [0.3272155523300171], [0.3205120265483856], [0.27080395817756653], [0.3796498775482178], [0.3050293028354645], [0.34486085176467896], [0.23526260256767273], [0.3493720591068268], [0.20003178715705872], [0.27508345246315], [0.3630988895893097], [0.3790445327758789], [0.32539162039756775], [0.37611570954322815], [0.32051199674606323], [0.36242368817329407], [0.2098812758922577], [0.32051199674606323], [0.1949128657579422], [0.24161820113658905], [0.24103213846683502], [0.2224571853876114], [0.32051199674606323], [0.34220296144485474], [0.32051199674606323], [0.32060542702674866], [0.32051199674606323], [0.32051199674606323], [0.5374622941017151], [0.29270318150520325], [0.3705383539199829], [0.3205120265483856], [0.29606863856315613], [0.32051199674606323], [0.23526260256767273], [0.3428042531013489], [0.20976734161376953], [0.3205120265483856], [0.22169619798660278], [0.35813865065574646], [0.23783829808235168], [0.32051199674606323], [0.32051199674606323], [0.21786876022815704], [0.4338003396987915], [0.3921201825141907], [0.32051199674606323], [0.32051199674606323], [0.22453857958316803], [0.4338003396987915], [0.3229435682296753], [0.31747984886169434], [0.28071534633636475], [0.3796498775482178], [0.19547322392463684], [0.3705383539199829], [0.2858360707759857], [0.33885830640792847], [0.32051199674606323], [0.3428042531013489], [0.32051199674606323], [0.343248575925827], [0.30887359380722046], [0.34690338373184204], [0.3205120265483856], [0.32051199674606323], [0.33586180210113525], [0.5599583387374878], [0.3888382315635681], [0.2942657172679901], [0.33038729429244995], [0.3855823874473572], [0.32804739475250244], [0.32051199674606323], [0.27745091915130615], [0.32051199674606323], [0.2858360707759857], [0.22829066216945648], [0.3428042531013489], [0.33586180210113525], [0.3308904767036438]]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[47.  3.]
 [34.  3.]]",0.42854607105255127,-1,-1,"[[0.2520858943462372], [0.2277141809463501], [0.2675136923789978], [0.20104309916496277], [0.25017258524894714], [0.8054829835891724], [0.27854305505752563], [0.22771424055099487], [0.1971798986196518], [0.3415103554725647], [0.2155214101076126], [0.2598574161529541], [0.14730000495910645], [0.25735417008399963], [0.7672802805900574], [0.19143202900886536], [0.272053599357605], [0.3005228340625763], [0.23387490212917328], [0.3141401708126068], [0.2277141809463501], [0.2841901481151581], [0.12537604570388794], [0.2277141809463501], [0.11345785111188889], [0.16704854369163513], [0.1524195522069931], [0.1732228398323059], [0.2277141809463501], [0.24955780804157257], [0.2277141809463501], [0.22695894539356232], [0.2277141809463501], [0.2277141809463501], [0.8847847580909729], [0.20764851570129395], [0.28022652864456177], [0.22771424055099487], [0.21609412133693695], [0.2277141809463501], [0.14730000495910645], [0.25017258524894714], [0.1254328340291977], [0.22771424055099487], [0.13526810705661774], [0.2852904200553894], [0.1967717856168747], [0.2277141809463501], [0.2277141809463501], [0.1327580064535141], [0.7524798512458801], [0.3432963788509369], [0.2277141809463501], [0.2277141809463501], [0.13795284926891327], [0.7524798512458801], [0.23022331297397614], [0.2248743623495102], [0.19703897833824158], [0.3415103554725647], [0.11509326845407486], [0.28022652864456177], [0.19418329000473022], [0.2494116574525833], [0.2277141809463501], [0.25017258524894714], [0.2277141809463501], [0.2605738937854767], [0.21740548312664032], [0.26390302181243896], [0.22771424055099487], [0.2277141809463501], [0.2431943565607071], [0.8054829835891724], [0.3385271430015564], [0.22115646302700043], [0.2436724156141281], [0.49799662828445435], [0.23459939658641815], [0.2277141809463501], [0.18545877933502197], [0.2277141809463501], [0.19418329000473022], [0.14344142377376556], [0.25017258524894714], [0.24319429695606232], [0.33138030767440796]]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[47.  3.]
 [34.  3.]]",0.42854607105255127,-1,-1,"[[0.25873133540153503], [0.24153579771518707], [0.2693401873111725], [0.2170601636171341], [0.2574588358402252], [0.8127611875534058], [0.24807657301425934], [0.24153585731983185], [0.2062978744506836], [0.2842327058315277], [0.2305961400270462], [0.25933825969696045], [0.18101201951503754], [0.2623528838157654], [0.7728495597839355], [0.20916639268398285], [0.2724230885505676], [0.28407514095306396], [0.24462094902992249], [0.28166306018829346], [0.24153579771518707], [0.2716798782348633], [0.1629958152770996], [0.24153579771518707], [0.1526031345129013], [0.18578103184700012], [0.18509982526302338], [0.17340734601020813], [0.24153579771518707], [0.2570274770259857], [0.24153579771518707], [0.2412511110305786], [0.24153579771518707], [0.24153579771518707], [0.8895094394683838], [0.22152870893478394], [0.27794745564460754], [0.24153585731983185], [0.22415931522846222], [0.24153579771518707], [0.18101201951503754], [0.2574588358402252], [0.1629902869462967], [0.24153585731983185], [0.1712990254163742], [0.2683406472206116], [0.18351444602012634], [0.24153579771518707], [0.24153579771518707], [0.1689591109752655], [0.729324460029602], [0.2960132956504822], [0.24153579771518707], [0.24153579771518707], [0.17342540621757507], [0.729324460029602], [0.24330438673496246], [0.23944725096225739], [0.2132091075181961], [0.2842327058315277], [0.1530524492263794], [0.27794745564460754], [0.2170095592737198], [0.25445446372032166], [0.24153579771518707], [0.2574588358402252], [0.24153579771518707], [0.25758206844329834], [0.23285755515098572], [0.26056456565856934], [0.24153585731983185], [0.24153579771518707], [0.2525213360786438], [0.8127611875534058], [0.2912331223487854], [0.2225848287343979], [0.2481500208377838], [0.36474376916885376], [0.24664434790611267], [0.24153579771518707], [0.21072867512702942], [0.24153579771518707], [0.2170095592737198], [0.17625166475772858], [0.2574588358402252], [0.2525213360786438], [0.2910406291484833]]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[45.  5.]
 [31.  6.]]",0.4821428656578064,-1,-1,"[[0.19512498378753662], [0.17870263755321503], [0.2055305540561676], [0.15596193075180054], [0.19382452964782715], [0.7099814414978027], [0.1832684874534607], [0.17870263755321503], [0.14623412489891052], [0.2200123518705368], [0.6761267185211182], [0.1959705501794815], [0.12371604144573212], [0.1986810564994812], [0.6221684813499451], [0.14870093762874603], [0.2085966169834137], [0.22010435163974762], [0.18128648400306702], [0.21748055517673492], [0.17870263755321503], [0.2076522558927536], [0.10824422538280487], [0.17870263755321503], [0.09971627593040466], [0.12808385491371155], [0.6230432391166687], [0.11671430617570877], [0.17870263755321503], [0.7010940909385681], [0.17870263755321503], [0.17814511060714722], [0.17870263755321503], [0.17870263755321503], [0.7660416960716248], [0.15988518297672272], [0.21411937475204468], [0.17870263755321503], [0.1625032126903534], [0.17870263755321503], [0.12371604144573212], [0.19382452964782715], [0.10829361528158188], [0.17870263755321503], [0.11525333672761917], [0.20419539511203766], [0.12640638649463654], [0.17870263755321503], [0.17870263755321503], [0.11352378129959106], [0.6412073969841003], [0.2293771356344223], [0.17870263755321503], [0.17870263755321503], [0.11716008931398392], [0.6412073969841003], [0.1803991198539734], [0.17679712176322937], [0.15241371095180511], [0.2200123518705368], [0.10012464970350266], [0.21411937475204468], [0.1560184508562088], [0.6130282282829285], [0.17870263755321503], [0.19382452964782715], [0.17870263755321503], [0.19377760589122772], [0.17024968564510345], [0.19694623351097107], [0.17870263755321503], [0.17870263755321503], [0.18913374841213226], [0.7099814414978027], [0.22720769047737122], [0.16081514954566956], [0.18459534645080566], [0.22245752811431885], [0.18330605328083038], [0.17870263755321503], [0.7035819292068481], [0.17870263755321503], [0.1560184508562088], [0.11971942335367203], [0.19382452964782715], [0.18913374841213226], [0.18385884165763855]]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[45.  5.]
 [31.  6.]]",0.4821428656578064,-1,-1,"[[0.2677128314971924], [0.2464403361082077], [0.2810112237930298], [0.21651031076908112], [0.2660621106624603], [0.6732175350189209], [0.252380907535553], [0.2464403510093689], [0.20353327691555023], [0.29943370819091797], [0.6758970022201538], [0.268717497587204], [0.1732177585363388], [0.27226459980010986], [0.5766992568969727], [0.2068701982498169], [0.2849022150039673], [0.2994718849658966], [0.24991485476493835], [0.2962343394756317], [0.2464403361082077], [0.2837683856487274], [0.15209612250328064], [0.2464403361082077], [0.14029929041862488], [0.17907428741455078], [0.6740428805351257], [0.16355429589748383], [0.2464403361082077], [0.6768192052841187], [0.2464403361082077], [0.24580641090869904], [0.2464403361082077], [0.2464403361082077], [0.6967456340789795], [0.2217690646648407], [0.2918851375579834], [0.2464403510093689], [0.22516752779483795], [0.2464403361082077], [0.1732177585363388], [0.2660621106624603], [0.15214569866657257], [0.2464403510093689], [0.16171371936798096], [0.27942097187042236], [0.176698699593544], [0.2464403361082077], [0.2464403361082077], [0.1592579185962677], [0.6676114797592163], [0.3111591935157776], [0.2464403361082077], [0.2464403361082077], [0.1642896980047226], [0.6676114797592163], [0.24864338338375092], [0.24393239617347717], [0.21180486679077148], [0.29943370819091797], [0.14085078239440918], [0.2918851375579834], [0.21655155718326569], [0.5192820429801941], [0.2464403361082077], [0.2660621106624603], [0.2464403361082077], [0.26605474948883057], [0.23547744750976562], [0.2700384855270386], [0.2464403510093689], [0.2464403361082077], [0.25999173521995544], [0.6732175350189209], [0.3084070384502411], [0.22301343083381653], [0.2542293667793274], [0.3030086159706116], [0.25250905752182007], [0.2464403361082077], [0.682016909122467], [0.2464403361082077], [0.21655155718326569], [0.1677374392747879], [0.2660621106624603], [0.25999170541763306], [0.25359678268432617]]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[46.  4.]
 [32.  5.]]",0.4680706560611725,-1,-1,"[[0.26848316192626953], [0.25247660279273987], [0.2787143588066101], [0.22950199246406555], [0.26699507236480713], [0.7266144156455994], [0.2570004463195801], [0.25247663259506226], [0.2194349318742752], [0.2922060191631317], [0.7338805198669434], [0.27013400197029114], [0.19418969750404358], [0.2720591723918915], [0.47958043217658997], [0.2216159552335739], [0.28242161870002747], [0.2963346540927887], [0.25391557812690735], [0.28946560621261597], [0.25247660279273987], [0.280179888010025], [0.17596164345741272], [0.25247660279273987], [0.16621516644954681], [0.19989562034606934], [0.5837300419807434], [0.1875392496585846], [0.25247660279273987], [0.7443379163742065], [0.25247660279273987], [0.2509661912918091], [0.25247660279273987], [0.25247660279273987], [0.7862918376922607], [0.2329505980014801], [0.29052239656448364], [0.25247663259506226], [0.2362990826368332], [0.25247660279273987], [0.19418969750404358], [0.26699507236480713], [0.1762281209230423], [0.25247663259506226], [0.18409140408039093], [0.27630987763404846], [0.19913285970687866], [0.25247660279273987], [0.25247660279273987], [0.18307936191558838], [0.6676591038703918], [0.3048206567764282], [0.25247660279273987], [0.25247660279273987], [0.18663394451141357], [0.6676591038703918], [0.2542307376861572], [0.25080448389053345], [0.2256801724433899], [0.2922060191631317], [0.16686107218265533], [0.29052239656448364], [0.2299172729253769], [0.43964695930480957], [0.25247663259506226], [0.26699507236480713], [0.25247663259506226], [0.2664143443107605], [0.24303430318832397], [0.27039068937301636], [0.25247663259506226], [0.25247663259506226], [0.2626323997974396], [0.7266144156455994], [0.3041872978210449], [0.23376160860061646], [0.2570194900035858], [0.3081895709037781], [0.2562258541584015], [0.25247663259506226], [0.752685010433197], [0.25247663259506226], [0.2299172729253769], [0.1900748312473297], [0.26699507236480713], [0.26263245940208435], [0.2578279674053192]]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[45.  5.]
 [28.  9.]]",0.5423242449760437,-1,-1,"[[0.22645659744739532], [0.2121201604604721], [0.8779342174530029], [0.1917213648557663], [0.22506630420684814], [0.7225690484046936], [0.21616780757904053], [0.2121201604604721], [0.18179792165756226], [0.26892855763435364], [0.6902255415916443], [0.2281460165977478], [0.1569322794675827], [0.22984956204891205], [0.5887068510055542], [0.18398049473762512], [0.23907418549060822], [0.2492784857749939], [0.2131577581167221], [0.24615685641765594], [0.2121201604604721], [0.23746761679649353], [0.13941003382205963], [0.2121201604604721], [0.13019616901874542], [0.1624886691570282], [0.4950142204761505], [0.1504848450422287], [0.2121201604604721], [0.7012333869934082], [0.2121201604604721], [0.2105593979358673], [0.2121201604604721], [0.2121201604604721], [0.7933981418609619], [0.7755665183067322], [0.244288831949234], [0.2121201604604721], [0.19775298237800598], [0.2121201604604721], [0.1569322794675827], [0.22506630420684814], [0.13966193795204163], [0.2121201604604721], [0.14717967808246613], [0.23369944095611572], [0.6936572790145874], [0.2121201604604721], [0.2121201604604721], [0.14620117843151093], [0.6331668496131897], [0.2568565309047699], [0.2121201604604721], [0.2121201604604721], [0.14962269365787506], [0.6331668496131897], [0.21370398998260498], [0.8583853840827942], [0.18805280327796936], [0.26892855763435364], [0.13080191612243652], [0.244288831949234], [0.19216704368591309], [0.39516550302505493], [0.2121201753616333], [0.22506630420684814], [0.2121201753616333], [0.7215684652328491], [0.20348522067070007], [0.22827371954917908], [0.2121201753616333], [0.2121201753616333], [0.22119030356407166], [0.7225690484046936], [0.25538086891174316], [0.19532647728919983], [0.21589942276477814], [0.25201982259750366], [0.2301807552576065], [0.2121201753616333], [0.7074446678161621], [0.2121201753616333], [0.19216704368591309], [0.15294012427330017], [0.22506630420684814], [0.22119030356407166], [0.21696342527866364]]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[36. 14.]
 [13. 24.]]",0.6836363673210144,-1,-1,"[[0.2241198718547821], [0.21764373779296875], [0.8956035375595093], [0.35438278317451477], [0.8087431192398071], [0.7656440138816833], [0.6756788492202759], [0.21764369308948517], [0.20397670567035675], [0.33012378215789795], [0.21411795914173126], [0.22634294629096985], [0.19109737873077393], [0.2258603572845459], [0.9504155516624451], [0.20409245789051056], [0.23023544251918793], [0.23440366983413696], [0.652372419834137], [0.6547037363052368], [0.21764373779296875], [0.22836096584796906], [0.977455735206604], [0.21764373779296875], [0.9782519340515137], [0.6910068988800049], [0.9725044965744019], [0.7406031489372253], [0.21764373779296875], [0.22293701767921448], [0.21764373779296875], [0.21521322429180145], [0.21764373779296875], [0.21764373779296875], [0.8672929406166077], [0.8178715705871582], [0.808521032333374], [0.21764369308948517], [0.4226510524749756], [0.21764373779296875], [0.9899817109107971], [0.22308264672756195], [0.9763414859771729], [0.21764369308948517], [0.9667607545852661], [0.6045365333557129], [0.7226681113243103], [0.21764373779296875], [0.21764373779296875], [0.1868240386247635], [0.716808557510376], [0.6184083819389343], [0.21764373779296875], [0.21764373779296875], [0.9744229316711426], [0.716808557510376], [0.21851016581058502], [0.8858869671821594], [0.20619362592697144], [0.33012378215789795], [0.9462432265281677], [0.23285223543643951], [0.8556907176971436], [0.6627150774002075], [0.9906850457191467], [0.22308264672756195], [0.21764373779296875], [0.7754776477813721], [0.7245064973831177], [0.23188872635364532], [0.21764369308948517], [0.21764373779296875], [0.3896368443965912], [0.7656440138816833], [0.23664404451847076], [0.8474923372268677], [0.4703543484210968], [0.5471219420433044], [0.28066205978393555], [0.21764373779296875], [0.7457941770553589], [0.21764373779296875], [0.20896922051906586], [0.9501692056655884], [0.8087431192398071], [0.8052414059638977], [0.4681446850299835]]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30. 20.]
 [ 8. 29.]]",0.6781184077262878,-1,-1,"[[0.22141574323177338], [0.2123250812292099], [0.9253624677658081], [0.5594315528869629], [0.791976809501648], [0.5889060497283936], [0.6612842679023743], [0.8739314675331116], [0.1939276158809662], [0.6359102725982666], [0.2070126086473465], [0.2232436090707779], [0.1789444088935852], [0.22392109036445618], [0.8739245533943176], [0.19494619965553284], [0.23055629432201385], [0.23758499324321747], [0.6383681297302246], [0.6524900197982788], [0.2123250812292099], [0.22892338037490845], [0.9863300919532776], [0.2123250812292099], [0.9853178262710571], [0.7383235692977905], [0.9749423861503601], [0.7154905200004578], [0.2123250812292099], [0.21997258067131042], [0.2123250812292099], [0.21100538969039917], [0.2123250812292099], [0.2123250812292099], [0.6396332383155823], [0.9271901249885559], [0.8438687324523926], [0.2123250812292099], [0.5929697751998901], [0.2123250812292099], [0.9930768013000488], [0.2202257364988327], [0.9855635166168213], [0.2123250812292099], [0.9784865379333496], [0.6319872140884399], [0.8001791834831238], [0.2123250812292099], [0.2123250812292099], [0.1726095974445343], [0.6071738600730896], [0.6257144212722778], [0.2123250812292099], [0.2123250812292099], [0.9814183115959167], [0.6071738600730896], [0.21333035826683044], [0.9354006052017212], [0.19733701646327972], [0.6359102725982666], [0.9464901685714722], [0.855373203754425], [0.848096489906311], [0.6513608694076538], [0.9924440979957581], [0.2202257364988327], [0.2123250812292099], [0.8766127228736877], [0.7110386490821838], [0.2900034487247467], [0.8739314675331116], [0.2123250812292099], [0.8377076387405396], [0.5889060497283936], [0.24166744947433472], [0.8639368414878845], [0.6018394231796265], [0.6005562543869019], [0.6141583919525146], [0.2123250812292099], [0.7023393511772156], [0.2123250812292099], [0.19997847080230713], [0.9459792375564575], [0.791976809501648], [0.8274580836296082], [0.5822559595108032]]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
