CF1,f11,MAE1,MAE2,pred,date,countries
"[[75.  2.]
 [10.  0.]]",0.46296295523643494,-1,-1,"[[0.2242431491613388], [0.1994428038597107], [0.24009549617767334], [0.1659650355577469], [0.22231577336788177], [0.5060803890228271], [0.20628637075424194], [0.19944283366203308], [0.1520078331232071], [0.2626144289970398], [0.18426522612571716], [0.2253454327583313], [0.12096612900495529], [0.2296312004327774], [0.09978631138801575], [0.15559744834899902], [0.24477949738502502], [0.26257559657096863], [0.20355162024497986], [0.2586739957332611], [0.1994428038597107], [0.2434813678264618], [0.10066103935241699], [0.1994428038597107], [0.08978603035211563], [0.12673725187778473], [0.1257830113172531], [0.11141840368509293], [0.1994428038597107], [0.22168520092964172], [0.1994428038597107], [0.19881197810173035], [0.1994428038597107], [0.1994428038597107], [0.4758723974227905], [0.17177408933639526], [0.25324133038520813], [0.19944283366203308], [0.1754591017961502], [0.1994428038597107], [0.12096612900495529], [0.22231577336788177], [0.10069193691015244], [0.19944283366203308], [0.10978231579065323], [0.23830363154411316], [0.1242697685956955], [0.1994428038597107], [0.1994428038597107], [0.1073557436466217], [0.3285602629184723], [0.27711841464042664], [0.1994428038597107], [0.1994428038597107], [0.11223839968442917], [0.3285602629184723], [0.20196636021137238], [0.1965503692626953], [0.16087841987609863], [0.2626144289970398], [0.09027376770973206], [0.25324133038520813], [0.165976881980896], [0.21781770884990692], [0.1994428038597107], [0.22231577336788177], [0.1994428038597107], [0.22236301004886627], [0.1870783269405365], [0.2269842028617859], [0.19944283366203308], [0.1994428038597107], [0.21515797078609467], [0.5060803890228271], [0.2736487090587616], [0.17315731942653656], [0.20856012403964996], [0.26294708251953125], [0.2065170407295227], [0.1994428038597107], [0.1575501263141632], [0.1994428038597107], [0.165976881980896], [0.11554760485887527], [0.22231578826904297], [0.21515792608261108], [0.20498313009738922]]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[72.  5.]
 [ 9.  1.]]",0.5181962251663208,-1,-1,"[[0.23103848099708557], [0.21010233461856842], [0.24411927163600922], [0.18116578459739685], [0.22951796650886536], [0.6954076290130615], [0.21943698823451996], [0.210102379322052], [0.16878238320350647], [0.26553669571876526], [0.19698603451251984], [0.23162832856178284], [0.14081265032291412], [0.23547427356243134], [0.5442633628845215], [0.17212747037410736], [0.24793978035449982], [0.26260095834732056], [0.21402834355831146], [0.2596905529499054], [0.21010233461856842], [0.24714146554470062], [0.12174062430858612], [0.21010233461856842], [0.11090449243783951], [0.14586642384529114], [0.14524395763874054], [0.13312868773937225], [0.21010233461856842], [0.22898675501346588], [0.21010233461856842], [0.20993533730506897], [0.21010233461856842], [0.21010233461856842], [0.7614474296569824], [0.18647119402885437], [0.25481656193733215], [0.210102379322052], [0.1894322633743286], [0.21010233461856842], [0.14081265032291412], [0.22951796650886536], [0.12170907109975815], [0.210102379322052], [0.1305294930934906], [0.2430923879146576], [0.14511176943778992], [0.21010233461856842], [0.21010233461856842], [0.12790274620056152], [0.614141583442688], [0.2800702154636383], [0.21010233461856842], [0.21010233461856842], [0.1327156126499176], [0.614141583442688], [0.2122192233800888], [0.20755277574062347], [0.17673832178115845], [0.26553669571876526], [0.1113463044166565], [0.25481656193733215], [0.18104493618011475], [0.2259136587381363], [0.21010233461856842], [0.22951796650886536], [0.21010233461856842], [0.2297702133655548], [0.19990423321723938], [0.23326757550239563], [0.210102379322052], [0.21010233461856842], [0.22343575954437256], [0.6954076290130615], [0.2717169225215912], [0.18773126602172852], [0.2183322012424469], [0.28147804737091064], [0.21641778945922852], [0.21010233461856842], [0.17396952211856842], [0.21010233461856842], [0.18104493618011475], [0.13562807440757751], [0.22951796650886536], [0.22343575954437256], [0.21617953479290009]]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77.  0.]
 [10.  0.]]",0.4695121943950653,-1,-1,"[[0.2302716225385666], [0.21013791859149933], [0.24285264313220978], [0.18221642076969147], [0.22879230976104736], [0.4349522292613983], [0.21572624146938324], [0.21013794839382172], [0.1702328771352768], [0.2608514726161957], [0.1975179761648178], [0.23090411722660065], [0.14298015832901], [0.234544575214386], [0.11821815371513367], [0.17344439029693604], [0.24652868509292603], [0.2605789601802826], [0.21383136510849], [0.25773298740386963], [0.21013791859149933], [0.24570846557617188], [0.12431678175926208], [0.21013791859149933], [0.11380715668201447], [0.1479661464691162], [0.1473076343536377], [0.13391421735286713], [0.21013791859149933], [0.22828243672847748], [0.21013791859149933], [0.2099033147096634], [0.21013791859149933], [0.21013791859149933], [0.3934338688850403], [0.18730144202709198], [0.2531428039073944], [0.21013794839382172], [0.1902119219303131], [0.21013791859149933], [0.14298015832901], [0.22879230976104736], [0.12429343909025192], [0.21013794839382172], [0.132855623960495], [0.24177628755569458], [0.14545856416225433], [0.21013791859149933], [0.21013791859149933], [0.13035044074058533], [0.30672991275787354], [0.27212560176849365], [0.21013791859149933], [0.21013791859149933], [0.13503408432006836], [0.30672991275787354], [0.21218211948871613], [0.2076990008354187], [0.17792241275310516], [0.2608514726161957], [0.11424233019351959], [0.2531428039073944], [0.18212585151195526], [0.2252950221300125], [0.21013791859149933], [0.22879230976104736], [0.21013791859149933], [0.22899237275123596], [0.20023393630981445], [0.2324250340461731], [0.21013794839382172], [0.21013791859149933], [0.22296105325222015], [0.4349522292613983], [0.2692970633506775], [0.18850822746753693], [0.21796078979969025], [0.2631628215312958], [0.21615582704544067], [0.21013791859149933], [0.17520655691623688], [0.21013791859149933], [0.18212585151195526], [0.1379389613866806], [0.22879236936569214], [0.22296105325222015], [0.21638402342796326]]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[75.  2.]
 [ 9.  1.]]",0.5427615642547607,-1,-1,"[[0.236197367310524], [0.21650739014148712], [0.25092896819114685], [0.20075355470180511], [0.23784010112285614], [0.6469358801841736], [0.2585122883319855], [0.21650739014148712], [0.19595038890838623], [0.3024224638938904], [0.21455179154872894], [0.2497037947177887], [0.15527255833148956], [0.24014544486999512], [0.2842405438423157], [0.19167916476726532], [0.25434058904647827], [0.27299076318740845], [0.2228592187166214], [0.27836501598358154], [0.21650739014148712], [0.26019132137298584], [0.13714902102947235], [0.21650739014148712], [0.12754416465759277], [0.17302463948726654], [0.15939266979694366], [0.18273745477199554], [0.21650739014148712], [0.23523710668087006], [0.21650739014148712], [0.22014573216438293], [0.21650739014148712], [0.21650739014148712], [0.7265453338623047], [0.20422334969043732], [0.26046866178512573], [0.21650739014148712], [0.21229968965053558], [0.21650739014148712], [0.15527255833148956], [0.23784010112285614], [0.13737094402313232], [0.21650739014148712], [0.14521437883377075], [0.25752684473991394], [0.2051241248846054], [0.21650739014148712], [0.21650739014148712], [0.14703615009784698], [0.43569415807724], [0.30540236830711365], [0.21650739014148712], [0.21650739014148712], [0.1476861536502838], [0.43569415807724], [0.22258296608924866], [0.2187711000442505], [0.1967913955450058], [0.3024224638938904], [0.13065624237060547], [0.26046866178512573], [0.19982954859733582], [0.23663146793842316], [0.21650739014148712], [0.23784007132053375], [0.21650739014148712], [0.2432451844215393], [0.2108594924211502], [0.24603532254695892], [0.21650739014148712], [0.21650739014148712], [0.23194052278995514], [0.6469358801841736], [0.2976030707359314], [0.21152202785015106], [0.2288426011800766], [0.33190616965293884], [0.22506514191627502], [0.21650739014148712], [0.187078595161438], [0.21650739014148712], [0.19982954859733582], [0.15540046989917755], [0.23784007132053375], [0.23194052278995514], [0.22912141680717468]]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[74.  3.]
 [ 7.  3.]]",0.6558544039726257,-1,-1,"[[0.23987603187561035], [0.22625325620174408], [0.24901212751865387], [0.20670177042484283], [0.23828813433647156], [0.6582368612289429], [0.23262350261211395], [0.22625325620174408], [0.19825096428394318], [0.38902926445007324], [0.21823060512542725], [0.24242320656776428], [0.17558181285858154], [0.24314828217029572], [0.32394370436668396], [0.19954687356948853], [0.2517964839935303], [0.2609080672264099], [0.22597812116146088], [0.2572576701641083], [0.22625325620174408], [0.2495298832654953], [0.15916159749031067], [0.22625325620174408], [0.1512158066034317], [0.18162532150745392], [0.17920807003974915], [0.17296816408634186], [0.22625325620174408], [0.23796308040618896], [0.22625325620174408], [0.22367189824581146], [0.22625325620174408], [0.22625325620174408], [0.696609377861023], [0.5870375037193298], [0.2567873001098633], [0.22625325620174408], [0.21260018646717072], [0.22625325620174408], [0.17558181285858154], [0.23828813433647156], [0.15967024862766266], [0.22625325620174408], [0.16619756817817688], [0.24541641771793365], [0.582388162612915], [0.22625325620174408], [0.22625325620174408], [0.16663135588169098], [0.44998762011528015], [0.27057892084121704], [0.22625325620174408], [0.22625325620174408], [0.16887448728084564], [0.44998762011528015], [0.2278537005186081], [0.45361852645874023], [0.2032560110092163], [0.38902926445007324], [0.15198345482349396], [0.2567873001098633], [0.20753972232341766], [0.2348450869321823], [0.22625325620174408], [0.23828813433647156], [0.22625325620174408], [0.6049556136131287], [0.21684134006500244], [0.24171647429466248], [0.22625325620174408], [0.22625325620174408], [0.2348102629184723], [0.6582368612289429], [0.2661815285682678], [0.20934070646762848], [0.22842645645141602], [0.27647513151168823], [0.32557764649391174], [0.22625325620174408], [0.20007111132144928], [0.22625325620174408], [0.20753972232341766], [0.1725553572177887], [0.23828813433647156], [0.2348102629184723], [0.22777913510799408]]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[70.  7.]
 [ 6.  4.]]",0.6479925513267517,-1,-1,"[[0.2225717008113861], [0.21086199581623077], [0.2305566966533661], [0.1940123289823532], [0.7831664085388184], [0.6797458529472351], [0.21421833336353302], [0.21086199581623077], [0.186749666929245], [0.28409817814826965], [0.20408299565315247], [0.2251424491405487], [0.16669391095638275], [0.22545790672302246], [0.46136710047721863], [0.18768161535263062], [0.23301170766353607], [0.24081724882125854], [0.2101237177848816], [0.2373625785112381], [0.21086199581623077], [0.2307562232017517], [0.15207421779632568], [0.21086199581623077], [0.14524027705192566], [0.1723465621471405], [0.16990014910697937], [0.1637524664402008], [0.21086199581623077], [0.2208239734172821], [0.21086199581623077], [0.20820686221122742], [0.21086199581623077], [0.21086199581623077], [0.6997172832489014], [0.5968520641326904], [0.2374122589826584], [0.21086199581623077], [0.1991400122642517], [0.21086199581623077], [0.16669391095638275], [0.221100315451622], [0.15261411666870117], [0.21086199581623077], [0.1582556813955307], [0.22695305943489075], [0.5324836373329163], [0.21086199581623077], [0.21086199581623077], [0.15907275676727295], [0.5247807502746582], [0.24583445489406586], [0.21086199581623077], [0.21086199581623077], [0.16076231002807617], [0.5247807502746582], [0.2122749388217926], [0.4783375859260559], [0.19097144901752472], [0.28409817814826965], [0.14598698914051056], [0.2374122589826584], [0.7934355735778809], [0.21794551610946655], [0.21086199581623077], [0.221100315451622], [0.21086199581623077], [0.6692903637886047], [0.20229697227478027], [0.22422488033771515], [0.21086199581623077], [0.21086199581623077], [0.21819104254245758], [0.6797458529472351], [0.24527457356452942], [0.1959591805934906], [0.21216575801372528], [0.23944218456745148], [0.24585643410682678], [0.21086199581623077], [0.1879991888999939], [0.21086199581623077], [0.19489885866641998], [0.16422216594219208], [0.7831664085388184], [0.21819104254245758], [0.21174851059913635]]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[75.  2.]
 [ 7.  3.]]",0.6716980934143066,-1,-1,"[[0.22890831530094147], [0.21547037363052368], [0.23737627267837524], [0.19608744978904724], [0.7751424908638], [0.4003283679485321], [0.21925033628940582], [0.21547041833400726], [0.18656820058822632], [0.25634706020355225], [0.20707082748413086], [0.22990083694458008], [0.16381728649139404], [0.23183798789978027], [0.16049112379550934], [0.18895038962364197], [0.2392994910478592], [0.24412801861763], [0.21719831228256226], [0.24053066968917847], [0.21547037363052368], [0.23648598790168762], [0.147617906332016], [0.21547037363052368], [0.1385301798582077], [0.16838116943836212], [0.16748307645320892], [0.15670429170131683], [0.21547037363052368], [0.2274358868598938], [0.21547037363052368], [0.2146553248167038], [0.21547037363052368], [0.21547037363052368], [0.41772931814193726], [0.49701663851737976], [0.24258562922477722], [0.21547041833400726], [0.20189519226551056], [0.21547037363052368], [0.16381728649139404], [0.22776861488819122], [0.14769375324249268], [0.21547041833400726], [0.15499450266361237], [0.23285628855228424], [0.40947040915489197], [0.21547037363052368], [0.9162192940711975], [0.15329502522945404], [0.2985283434391022], [0.2461879998445511], [0.21547037363052368], [0.21547037363052368], [0.1570233404636383], [0.2985283434391022], [0.21690337359905243], [0.2884894609451294], [0.19261153042316437], [0.25634706020355225], [0.13898888230323792], [0.24258562922477722], [0.7605689764022827], [0.2251541018486023], [0.21547037363052368], [0.22776861488819122], [0.21547037363052368], [0.5568099617958069], [0.20804303884506226], [0.23043768107891083], [0.21547041833400726], [0.21547037363052368], [0.22402061522006989], [0.4003283679485321], [0.24660690128803253], [0.20015671849250793], [0.21986880898475647], [0.24048510193824768], [0.2299811840057373], [0.21547037363052368], [0.19021859765052795], [0.21547037363052368], [0.19618381559848785], [0.15973995625972748], [0.7751424908638], [0.22402061522006989], [0.21849091351032257]]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[74.  3.]
 [ 4.  6.]]",0.7932088375091553,-1,-1,"[[0.2266048789024353], [0.21178236603736877], [0.23639827966690063], [0.19073337316513062], [0.6520028710365295], [0.45890864729881287], [0.2159808874130249], [0.21178238093852997], [0.1816660314798355], [0.4154622256755829], [0.20292457938194275], [0.871309757232666], [0.15834076702594757], [0.2300691157579422], [0.47976991534233093], [0.18331611156463623], [0.23935820162296295], [0.24941129982471466], [0.21222490072250366], [0.24587135016918182], [0.21178236603736877], [0.23733313381671906], [0.14172959327697754], [0.21178236603736877], [0.13340897858142853], [0.16410213708877563], [0.1620582938194275], [0.15336710214614868], [0.21178236603736877], [0.22467170655727386], [0.21178236603736877], [0.20962682366371155], [0.21178236603736877], [0.21178236603736877], [0.5611918568611145], [0.41045844554901123], [0.24467208981513977], [0.21178238093852997], [0.19699861109256744], [0.21178236603736877], [0.15834076702594757], [0.22503086924552917], [0.1421215832233429], [0.21178238093852997], [0.14894737303256989], [0.23322857916355133], [0.5719643235206604], [0.21178236603736877], [0.9444350600242615], [0.14878518879413605], [0.3863310217857361], [0.2565460205078125], [0.21178236603736877], [0.21178236603736877], [0.1514834761619568], [0.3863310217857361], [0.21346405148506165], [0.22899885475635529], [0.18714672327041626], [0.4154622256755829], [0.13409265875816345], [0.24467208981513977], [0.7184066772460938], [0.22156845033168793], [0.21178236603736877], [0.22503086924552917], [0.21178236603736877], [0.49716687202453613], [0.20229096710681915], [0.22850839793682098], [0.21178238093852997], [0.21178236603736877], [0.22112144529819489], [0.45890864729881287], [0.2553381621837616], [0.19403980672359467], [0.21497592329978943], [0.32148978114128113], [0.8591476678848267], [0.21178236603736877], [0.18406999111175537], [0.21178236603736877], [0.19139306247234344], [0.1549566686153412], [0.6520028710365295], [0.22112144529819489], [0.8354377746582031]]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[69.  8.]
 [ 2.  8.]]",0.7739084959030151,-1,-1,"[[0.21325653791427612], [0.2010224312543869], [0.2213520109653473], [0.18352819979190826], [0.5779495239257812], [0.5022639632225037], [0.20449812710285187], [0.2010224610567093], [0.17595180869102478], [0.8151932954788208], [0.1937185376882553], [0.8634059429168701], [0.15613430738449097], [0.21613077819347382], [0.46197476983070374], [0.1772783100605011], [0.22380158305168152], [0.23203660547733307], [0.20123519003391266], [0.22903813421726227], [0.2010224312543869], [0.22204424440860748], [0.1418284773826599], [0.2010224312543869], [0.13467417657375336], [0.16114622354507446], [0.15930888056755066], [0.15206274390220642], [0.2010224312543869], [0.2116324007511139], [0.2010224312543869], [0.19910535216331482], [0.2010224312543869], [0.2010224312543869], [0.5381831526756287], [0.7365744709968567], [0.2281951755285263], [0.2010224610567093], [0.18876370787620544], [0.2010224312543869], [0.15613430738449097], [0.2119273841381073], [0.1421944797039032], [0.2010224610567093], [0.14803794026374817], [0.21858924627304077], [0.7760787010192871], [0.2010224312543869], [0.964927613735199], [0.14803028106689453], [0.35014608502388], [0.23779889941215515], [0.2010224312543869], [0.2010224312543869], [0.15025952458381653], [0.35014608502388], [0.20242470502853394], [0.5501447916030884], [0.18051107227802277], [0.8151932954788208], [0.13528890907764435], [0.2281951755285263], [0.6353434920310974], [0.20901325345039368], [0.2010224312543869], [0.2119273841381073], [0.2010224312543869], [0.821943461894989], [0.19301271438598633], [0.21484562754631042], [0.2010224610567093], [0.2010224312543869], [0.2087290734052658], [0.5022639632225037], [0.23686493933200836], [0.18618641793727875], [0.20349034667015076], [0.24868375062942505], [0.8581498861312866], [0.2010224312543869], [0.17786890268325806], [0.2010224312543869], [0.18412843346595764], [0.15330061316490173], [0.5779495239257812], [0.2087291181087494], [0.8027383685112]]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[68.  9.]
 [ 1.  9.]]",0.7871819734573364,-1,-1,"[[0.22199155390262604], [0.2091660499572754], [0.8321674466133118], [0.19082744419574738], [0.6610416173934937], [0.6025981307029724], [0.21435675024986267], [0.2091660499572754], [0.18276426196098328], [0.9060186147689819], [0.20112298429012299], [0.8312891125679016], [0.1631534844636917], [0.22477217018604279], [0.5198772549629211], [0.18472309410572052], [0.23241078853607178], [0.2410668581724167], [0.21091768145561218], [0.2389167845249176], [0.2091660499572754], [0.23151709139347076], [0.14901043474674225], [0.2091660499572754], [0.13960003852844238], [0.16721996665000916], [0.16632750630378723], [0.1581014096736908], [0.2091660499572754], [0.22060751914978027], [0.2091660499572754], [0.20847654342651367], [0.2091660499572754], [0.2091660499572754], [0.6032645106315613], [0.8179260492324829], [0.2366504669189453], [0.2091660499572754], [0.19620053470134735], [0.2091660499572754], [0.1631534844636917], [0.22092567384243011], [0.14911000430583954], [0.2091660499572754], [0.15543533861637115], [0.2287311553955078], [0.8561021685600281], [0.2091660499572754], [0.9314613938331604], [0.1541142612695694], [0.4762132167816162], [0.24952572584152222], [0.2091660499572754], [0.2091660499572754], [0.15725351870059967], [0.4762132167816162], [0.21052640676498413], [0.8197301626205444], [0.18785977363586426], [0.8168352246284485], [0.13985887169837952], [0.2366504669189453], [0.6946853995323181], [0.2184705138206482], [0.2091660499572754], [0.22092567384243011], [0.2091660499572754], [0.838168740272522], [0.20217067003250122], [0.22343643009662628], [0.2091660499572754], [0.2091660499572754], [0.21733248233795166], [0.6025981307029724], [0.2463192492723465], [0.19461576640605927], [0.21347983181476593], [0.2584783434867859], [0.8465123176574707], [0.2091660499572754], [0.18575233221054077], [0.2091660499572754], [0.19096596539020538], [0.15969149768352509], [0.6610416173934937], [0.21733248233795166], [0.7282874584197998]]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
