CF1,f11,MAE1,MAE2,pred,date,countries
"[[73.  1.]
 [11.  2.]]",0.5870253443717957,-1,-1,"[[0.2699507176876068], [0.2386629432439804], [0.288640558719635], [0.20657683908939362], [0.2645516097545624], [0.6762140989303589], [0.2585310935974121], [0.2386629581451416], [0.19015684723854065], [0.3191741108894348], [0.22597773373126984], [0.28121769428253174], [0.1451648622751236], [0.27623268961906433], [0.16216707229614258], [0.1882798969745636], [0.29618459939956665], [0.31539127230644226], [0.23961180448532104], [0.30893513560295105], [0.2386629432439804], [0.28634098172187805], [0.11937354505062103], [0.2386629432439804], [0.10803171247243881], [0.16369155049324036], [0.14989638328552246], [0.15254369378089905], [0.2386629432439804], [0.2595888078212738], [0.2386629432439804], [0.2371700555086136], [0.2386629432439804], [0.2386629432439804], [0.6996658444404602], [0.20788419246673584], [0.3098464608192444], [0.2386629581451416], [0.2177158147096634], [0.2386629432439804], [0.1451648622751236], [0.2645516097545624], [0.11965519189834595], [0.2386629581451416], [0.12993352115154266], [0.2819123864173889], [0.17579613626003265], [0.2386629432439804], [0.2386629432439804], [0.135565385222435], [0.41695791482925415], [0.33231180906295776], [0.2386629432439804], [0.2386629432439804], [0.1348716914653778], [0.41695791482925415], [0.2440698891878128], [0.23882612586021423], [0.1970968097448349], [0.3191741108894348], [0.11177648603916168], [0.3098464608192444], [0.20927441120147705], [0.2560015022754669], [0.2386629432439804], [0.2645516097545624], [0.2386629432439804], [0.2641371488571167], [0.22137029469013214], [0.27286723256111145], [0.2386629581451416], [0.2386629432439804], [0.261509507894516], [0.6762140989303589], [0.3299362063407898], [0.20995214581489563], [0.24145710468292236], [0.3321208655834198], [0.24613289535045624], [0.2386629432439804], [0.18641512095928192], [0.2386629432439804], [0.20927438139915466], [0.14531008899211884], [0.26455157995224], [0.261509507894516], [0.25225409865379333]]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[71.  3.]
 [11.  2.]]",0.5662392973899841,-1,-1,"[[0.2662874460220337], [0.244419127702713], [0.28017690777778625], [0.21373626589775085], [0.2644401490688324], [0.7004805207252502], [0.25053876638412476], [0.244419127702713], [0.20052286982536316], [0.2987528443336487], [0.23088866472244263], [0.26784878969192505], [0.16915813088417053], [0.27107784152030945], [0.3948097825050354], [0.203685462474823], [0.28427809476852417], [0.29928863048553467], [0.24729877710342407], [0.2954936921596527], [0.244419127702713], [0.2826763391494751], [0.1474243700504303], [0.244419127702713], [0.1356934905052185], [0.17560389637947083], [0.174141988158226], [0.1600409746170044], [0.244419127702713], [0.2638954222202301], [0.244419127702713], [0.24317492544651031], [0.244419127702713], [0.244419127702713], [0.5932130217552185], [0.218763068318367], [0.2916431427001953], [0.244419127702713], [0.22265015542507172], [0.244419127702713], [0.16915813088417053], [0.2644401490688324], [0.14758898317813873], [0.244419127702713], [0.157180055975914], [0.27781546115875244], [0.1738085001707077], [0.244419127702713], [0.244419127702713], [0.155230313539505], [0.5451152324676514], [0.31101590394973755], [0.244419127702713], [0.244419127702713], [0.15999796986579895], [0.5451152324676514], [0.24673090875148773], [0.24197682738304138], [0.20883822441101074], [0.2987528443336487], [0.13633376359939575], [0.2916431427001953], [0.21399283409118652], [0.2602011561393738], [0.244419127702713], [0.2644401490688324], [0.244419127702713], [0.26409590244293213], [0.23254267871379852], [0.2687811851501465], [0.244419127702713], [0.244419127702713], [0.2583054304122925], [0.7004805207252502], [0.3084193170070648], [0.21995128691196442], [0.2516404390335083], [0.30205222964286804], [0.25016576051712036], [0.244419127702713], [0.20534521341323853], [0.244419127702713], [0.21399283409118652], [0.16380108892917633], [0.2644401490688324], [0.25830546021461487], [0.2509646713733673]]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[73.  1.]
 [11.  2.]]",0.5870253443717957,-1,-1,"[[0.28269222378730774], [0.25980326533317566], [0.29787158966064453], [0.22754669189453125], [0.28024566173553467], [0.6163144111633301], [0.2662774622440338], [0.25980329513549805], [0.21379125118255615], [0.31576767563819885], [0.24619796872138977], [0.28616026043891907], [0.17889873683452606], [0.28806206583976746], [0.18629668653011322], [0.21626824140548706], [0.3024648129940033], [0.318041056394577], [0.26043084263801575], [0.31252047419548035], [0.25980326533317566], [0.29929298162460327], [0.1546756625175476], [0.25980326533317566], [0.14281372725963593], [0.18746253848075867], [0.18439704179763794], [0.17164623737335205], [0.25980326533317566], [0.27969053387641907], [0.25980326533317566], [0.25643742084503174], [0.25980326533317566], [0.25980326533317566], [0.588367223739624], [0.23160038888454437], [0.3107123076915741], [0.25980329513549805], [0.237111434340477], [0.25980326533317566], [0.17889873683452606], [0.28024566173553467], [0.15524834394454956], [0.25980329513549805], [0.16511687636375427], [0.29290470480918884], [0.1877567321062088], [0.25980326533317566], [0.25980326533317566], [0.1649232655763626], [0.4126456379890442], [0.3290635645389557], [0.25980326533317566], [0.25980326533317566], [0.1688292920589447], [0.4126456379890442], [0.2623985707759857], [0.2577052414417267], [0.2220855951309204], [0.31576767563819885], [0.14378926157951355], [0.3107123076915741], [0.2285686433315277], [0.27487102150917053], [0.25980326533317566], [0.28024566173553467], [0.25980326533317566], [0.278719425201416], [0.24516314268112183], [0.28564584255218506], [0.25980329513549805], [0.25980326533317566], [0.2742103636264801], [0.6163144111633301], [0.3272128999233246], [0.2325524538755417], [0.2646644413471222], [0.32349106669425964], [0.2641335725784302], [0.25980326533317566], [0.2173958420753479], [0.25980326533317566], [0.2285686433315277], [0.1739375740289688], [0.28024566173553467], [0.2742103636264801], [0.2679901123046875]]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[73.  1.]
 [11.  2.]]",0.5870253443717957,-1,-1,"[[0.24403433501720428], [0.23001675307750702], [0.2538469731807709], [0.20989203453063965], [0.24208730459213257], [0.5137461423873901], [0.23405416309833527], [0.23001675307750702], [0.20131002366542816], [0.26337918639183044], [0.2221314162015915], [0.24777351319789886], [0.17686645686626434], [0.24762330949306488], [0.19859305024147034], [0.20209744572639465], [0.2569037973880768], [0.2662484049797058], [0.228276327252388], [0.26154735684394836], [0.23001675307750702], [0.2536654770374298], [0.15917468070983887], [0.23001675307750702], [0.15139688551425934], [0.18422414362430573], [0.1807437539100647], [0.1743406355381012], [0.23001675307750702], [0.2417614609003067], [0.23001675307750702], [0.22610004246234894], [0.23001675307750702], [0.23001675307750702], [0.506906270980835], [0.2113197296857834], [0.2623865008354187], [0.23001675307750702], [0.21607430279254913], [0.23001675307750702], [0.17686645686626434], [0.24208730459213257], [0.1599656641483307], [0.23001675307750702], [0.1664859503507614], [0.24863925576210022], [0.1865437924861908], [0.23001675307750702], [0.23001675307750702], [0.16818250715732574], [0.32873091101646423], [0.27185896039009094], [0.23001675307750702], [0.23001675307750702], [0.16972218453884125], [0.32873091101646423], [0.23176904022693634], [0.2291383445262909], [0.20615743100643158], [0.26337918639183044], [0.15239016711711884], [0.2623865008354187], [0.21122780442237854], [0.23797281086444855], [0.23001675307750702], [0.24208730459213257], [0.23001675307750702], [0.2401278167963028], [0.21899163722991943], [0.24613943696022034], [0.23001675307750702], [0.23001675307750702], [0.2387387454509735], [0.5137461423873901], [0.2714850604534149], [0.2116493433713913], [0.23060911893844604], [0.262166291475296], [0.23117749392986298], [0.23001675307750702], [0.20224463939666748], [0.23001675307750702], [0.21122780442237854], [0.17422378063201904], [0.24208730459213257], [0.2387387454509735], [0.2290671169757843]]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[71.  3.]
 [10.  3.]]",0.6159592270851135,-1,-1,"[[0.25842833518981934], [0.2413131296634674], [0.2696707248687744], [0.21693012118339539], [0.25664132833480835], [0.5757256150245667], [0.24616286158561707], [0.2413131594657898], [0.2063930332660675], [0.3422662615776062], [0.23102962970733643], [0.2608809173107147], [0.17936411499977112], [0.26240113377571106], [0.305891215801239], [0.20835758745670319], [0.2730575203895569], [0.28460371494293213], [0.2419547438621521], [0.2806267738342285], [0.2413131296634674], [0.2708098888397217], [0.1600925326347351], [0.2413131296634674], [0.15036989748477936], [0.18597020208835602], [0.18367812037467957], [0.17343536019325256], [0.2413131296634674], [0.2562263607978821], [0.2413131296634674], [0.23893232643604279], [0.2413131296634674], [0.2413131296634674], [0.531461775302887], [0.5277310609817505], [0.27913179993629456], [0.2413131594657898], [0.22418652474880219], [0.2413131296634674], [0.17936411499977112], [0.25664132833480835], [0.16052573919296265], [0.2413131594657898], [0.1684911549091339], [0.2661578059196472], [0.5167154669761658], [0.2413131296634674], [0.2413131296634674], [0.1681940257549286], [0.487461119890213], [0.29284077882766724], [0.2413131296634674], [0.2413131296634674], [0.171402245759964], [0.487461119890213], [0.24324801564216614], [0.45338544249534607], [0.21278414130210876], [0.3422662615776062], [0.15114834904670715], [0.27913179993629456], [0.2176540493965149], [0.25269758701324463], [0.2413131296634674], [0.25664132833480835], [0.2413131296634674], [0.629097044467926], [0.23044750094413757], [0.2606036961078644], [0.2413131594657898], [0.2413131296634674], [0.25211015343666077], [0.5757256150245667], [0.29141250252723694], [0.22085045278072357], [0.24515168368816376], [0.28462040424346924], [0.2887105643749237], [0.2413131296634674], [0.20926766097545624], [0.2413131296634674], [0.2176540493965149], [0.17538386583328247], [0.25664132833480835], [0.25211015343666077], [0.2445145547389984]]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72.  2.]
 [10.  3.]]",0.6282051205635071,-1,-1,"[[0.25421351194381714], [0.24027825891971588], [0.26346921920776367], [0.2202090471982956], [0.2526431977748871], [0.6522265672683716], [0.24425259232521057], [0.24027825891971588], [0.21148823201656342], [0.2965433597564697], [0.23199130594730377], [0.25662961602211], [0.1882513016462326], [0.2575182020664215], [0.44642195105552673], [0.21291521191596985], [0.26627567410469055], [0.27555781602859497], [0.24023953080177307], [0.2719992995262146], [0.24027825891971588], [0.2641153633594513], [0.17134039103984833], [0.24027825891971588], [0.16299816966056824], [0.19431620836257935], [0.19198210537433624], [0.18381045758724213], [0.24027825891971588], [0.25230956077575684], [0.24027825891971588], [0.23784352838993073], [0.24027825891971588], [0.24027825891971588], [0.6540921926498413], [0.5136131644248962], [0.27130183577537537], [0.24027825891971588], [0.22625406086444855], [0.24027825891971588], [0.1882513016462326], [0.2526431977748871], [0.171823650598526], [0.24027825891971588], [0.17864073812961578], [0.2600517272949219], [0.47961488366127014], [0.24027825891971588], [0.24027825891971588], [0.17887859046459198], [0.4959195554256439], [0.2819026708602905], [0.24027825891971588], [0.24027825891971588], [0.18133759498596191], [0.4959195554256439], [0.24189987778663635], [0.4179229438304901], [0.21669453382492065], [0.2965433597564697], [0.1637633591890335], [0.27130183577537537], [0.2209918349981308], [0.24921882152557373], [0.24027825891971588], [0.2526431679725647], [0.24027825891971588], [0.6129426956176758], [0.2308512032032013], [0.25605812668800354], [0.24027825891971588], [0.24027825891971588], [0.24904994666576385], [0.6522265672683716], [0.2809506356716156], [0.22308331727981567], [0.24277813732624054], [0.27691933512687683], [0.2596827447414398], [0.24027825891971588], [0.21352115273475647], [0.24027825891971588], [0.2209918349981308], [0.1850346177816391], [0.2526431679725647], [0.24904991686344147], [0.24377676844596863]]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[73.  1.]
 [10.  3.]]",0.6414387226104736,-1,-1,"[[0.24189218878746033], [0.23253177106380463], [0.24786071479320526], [0.2174905240535736], [0.2407783567905426], [0.6307588219642639], [0.2354983538389206], [0.23253177106380463], [0.2109227329492569], [0.26772353053092957], [0.22646403312683105], [0.24385352432727814], [0.19270582497119904], [0.24405796825885773], [0.3934575617313385], [0.21183015406131744], [0.24968799948692322], [0.2554462254047394], [0.2320433408021927], [0.25287020206451416], [0.23253177106380463], [0.2479841411113739], [0.17916801571846008], [0.23253177106380463], [0.17265982925891876], [0.19778072834014893], [0.1956479251384735], [0.18978646397590637], [0.23253177106380463], [0.24057142436504364], [0.23253177106380463], [0.2303198128938675], [0.23253177106380463], [0.23253177106380463], [0.6647998690605164], [0.46100613474845886], [0.2529522478580475], [0.23253177106380463], [0.2220786213874817], [0.23253177106380463], [0.19270582497119904], [0.2407783567905426], [0.17964278161525726], [0.23253177106380463], [0.1849529892206192], [0.24512746930122375], [0.41089412569999695], [0.23253177106380463], [0.23253177106380463], [0.18556319177150726], [0.4755740165710449], [0.2591019868850708], [0.23253177106380463], [0.23253177106380463], [0.1872314214706421], [0.4755740165710449], [0.23377150297164917], [0.4083312749862671], [0.21477359533309937], [0.26772353053092957], [0.1733430027961731], [0.2529522478580475], [0.21823269128799438], [0.23838762938976288], [0.23253177106380463], [0.2407783567905426], [0.23253177106380463], [0.5503763556480408], [0.2250671237707138], [0.2431364506483078], [0.23253177106380463], [0.23253177106380463], [0.23860056698322296], [0.6307588219642639], [0.25870946049690247], [0.21935077011585236], [0.23387375473976135], [0.25991660356521606], [0.2447136640548706], [0.23253177106380463], [0.21216322481632233], [0.23253177106380463], [0.21823269128799438], [0.1903599053621292], [0.2407783567905426], [0.23860056698322296], [0.2356363832950592]]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74.  0.]
 [13.  0.]]",0.45962733030319214,-1,-1,"[[0.2251766324043274], [0.21827611327171326], [0.22997815907001495], [0.20812194049358368], [0.22419266402721405], [0.2365592122077942], [0.22028088569641113], [0.21827611327171326], [0.20370227098464966], [0.24309788644313812], [0.21437515318393707], [0.2271137535572052], [0.19054140150547028], [0.22694678604602814], [0.15876691043376923], [0.20405064523220062], [0.23146939277648926], [0.2359340339899063], [0.21725404262542725], [0.2335943877696991], [0.21827611327171326], [0.22981642186641693], [0.18055705726146698], [0.21827611327171326], [0.17611302435398102], [0.19466626644134521], [0.19267067313194275], [0.18934589624404907], [0.21827611327171326], [0.22403419017791748], [0.21827611327171326], [0.21618875861167908], [0.21827611327171326], [0.21827611327171326], [0.19489134848117828], [0.3721872568130493], [0.23413187265396118], [0.21827611327171326], [0.2112874686717987], [0.21827611327171326], [0.19054140150547028], [0.22419266402721405], [0.18104124069213867], [0.21827611327171326], [0.18470560014247894], [0.22730228304862976], [0.32884493470191956], [0.21827611327171326], [0.21827611327171326], [0.18580451607704163], [0.21633927524089813], [0.23852545022964478], [0.21827611327171326], [0.21827611327171326], [0.18657103180885315], [0.21633927524089813], [0.2191571444272995], [0.22795036435127258], [0.20618027448654175], [0.24309788644313812], [0.17671740055084229], [0.23413187265396118], [0.2088581770658493], [0.2221147119998932], [0.21827611327171326], [0.22419266402721405], [0.21827611327171326], [0.45125633478164673], [0.21260733902454376], [0.2262243777513504], [0.21827611327171326], [0.21827611327171326], [0.22257590293884277], [0.2365592122077942], [0.23840001225471497], [0.20891617238521576], [0.21839496493339539], [0.2294837385416031], [0.22544562816619873], [0.21827611327171326], [0.2040833979845047], [0.21827611327171326], [0.2088581770658493], [0.18914663791656494], [0.22419266402721405], [0.22257590293884277], [0.21427029371261597]]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74.  0.]
 [11.  2.]]",0.5987421274185181,-1,-1,"[[0.2531793415546417], [0.24527709186077118], [0.25841450691223145], [0.23364117741584778], [0.2522524297237396], [0.26631397008895874], [0.24754959344863892], [0.24527709186077118], [0.22849412262439728], [0.2729547321796417], [0.24056413769721985], [0.2546885311603546], [0.21151778101921082], [0.25506481528282166], [0.16540029644966125], [0.22926418483257294], [0.26000067591667175], [0.26512646675109863], [0.24505119025707245], [0.2630387842655182], [0.24527709186077118], [0.25867775082588196], [0.19398610293865204], [0.24527709186077118], [0.18769189715385437], [0.21810753643512726], [0.21523119509220123], [0.21165961027145386], [0.24527709186077118], [0.2520655691623688], [0.24527709186077118], [0.24370568990707397], [0.24527709186077118], [0.24527709186077118], [0.21783608198165894], [0.33085328340530396], [0.2628304958343506], [0.24527709186077118], [0.23719647526741028], [0.24527709186077118], [0.21151778101921082], [0.2522524297237396], [0.19527150690555573], [0.24527709186077118], [0.20075872540473938], [0.25630345940589905], [0.2940736711025238], [0.24527709186077118], [0.9362642168998718], [0.20490968227386475], [0.24483489990234375], [0.26851585507392883], [0.24527709186077118], [0.24527709186077118], [0.20466788113117218], [0.24483489990234375], [0.2462182641029358], [0.25499558448791504], [0.23154130578041077], [0.2729547321796417], [0.18904541432857513], [0.2628304958343506], [0.23416931927204132], [0.25024014711380005], [0.24527709186077118], [0.25225239992141724], [0.24527709186077118], [0.3840864896774292], [0.23966211080551147], [0.2542445957660675], [0.24527709186077118], [0.93330979347229], [0.25025513768196106], [0.26631397008895874], [0.2680615484714508], [0.23519033193588257], [0.24647554755210876], [0.2590658366680145], [0.2533929646015167], [0.24527709186077118], [0.22956715524196625], [0.24527709186077118], [0.23416931927204132], [0.21016716957092285], [0.2522524297237396], [0.25025513768196106], [0.24191983044147491]]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[73.  1.]
 [ 9.  4.]]",0.69017094373703,-1,-1,"[[0.2106543332338333], [0.20530900359153748], [0.21443955600261688], [0.19740721583366394], [0.20983463525772095], [0.21940040588378906], [0.2700594663619995], [0.20530900359153748], [0.19397708773612976], [0.22421298921108246], [0.20235055685043335], [0.21235989034175873], [0.1834004819393158], [0.2120639830827713], [0.15843094885349274], [0.19413991272449493], [0.21562489867210388], [0.21905802190303802], [0.2042376846075058], [0.21708427369594574], [0.20530900359153748], [0.21418307721614838], [0.17530348896980286], [0.20530900359153748], [0.1718428134918213], [0.37229350209236145], [0.18511244654655457], [0.2226472645998001], [0.20530900359153748], [0.20971356332302094], [0.20530900359153748], [0.20344695448875427], [0.20530900359153748], [0.20530900359153748], [0.18722786009311676], [0.3697316646575928], [0.21773982048034668], [0.20530900359153748], [0.255816787481308], [0.20530900359153748], [0.5195462107658386], [0.20983463525772095], [0.17574843764305115], [0.20530900359153748], [0.178621307015419], [0.2846493721008301], [0.3223063051700592], [0.20530900359153748], [0.9584128260612488], [0.17976438999176025], [0.20328325033187866], [0.22092591226100922], [0.20530900359153748], [0.20530900359153748], [0.18020594120025635], [0.20328325033187866], [0.2060125321149826], [0.2126615345478058], [0.19585372507572174], [0.22421298921108246], [0.1723722219467163], [0.7737499475479126], [0.19807511568069458], [0.2081182599067688], [0.20530900359153748], [0.20983463525772095], [0.20530900359153748], [0.43704643845558167], [0.200643852353096], [0.2115037590265274], [0.20530900359153748], [0.9531837701797485], [0.7150479555130005], [0.21940040588378906], [0.22092066705226898], [0.19783835113048553], [0.2679170072078705], [0.21370115876197815], [0.21053527295589447], [0.20530900359153748], [0.19408702850341797], [0.20530900359153748], [0.19807511568069458], [0.18239828944206238], [0.20983463525772095], [0.2927773594856262], [0.20183445513248444]]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
