CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,86.80000305175781,84.0,"[16.501602172851562, 25.36391830444336, 16.209814071655273, 21.29097557067871, 18.72297477722168]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,86.80000305175781,84.0,"[6.81894588470459, 12.526824951171875, 6.654095649719238, 9.524955749511719, 8.819817543029785]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,61.599998474121094,56.0,"[13.034093856811523, 31.11269760131836, 12.662895202636719, 19.829463958740234, 20.21420669555664]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,44.79999923706055,42.0,"[15.896322250366211, 27.018653869628906, 15.569246292114258, 21.191390991210938, 19.267044067382812]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,30.799999237060547,28.0,"[15.349114418029785, 26.016624450683594, 15.054486274719238, 20.400856018066406, 18.660228729248047]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,14.0,0.0,"[19.991670608520508, 34.648193359375, 19.586814880371094, 26.793432235717773, 24.632688522338867]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,19.600000381469727,14.0,"[25.190641403198242, 43.11839294433594, 24.69145965576172, 33.596839904785156, 30.79828643798828]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
-1,-1,14.0,14.0,"[18.81869888305664, 22.777286529541016, 28.865802764892578]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
-1,-1,14.0,14.0,[22.347837448120117],2021-03-29T00:00:00.000000000,['Panama']
-1,-1,14.0,14.0,[11.390308380126953],2021-04-12T00:00:00.000000000,['Panama']
-1,-1,0.0,0.0,[1.4092645645141602],2021-04-26T00:00:00.000000000,['Panama']
-1,-1,-1,-1,[],2021-05-10T00:00:00.000000000,[]
