CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,94.69444274902344,105.0,"[18.45660972595215, 23.698009490966797, 19.514753341674805, 8.820935249328613, 20.647768020629883, 21.127450942993164, 27.76059913635254, 17.105554580688477, 21.12745475769043, 31.472362518310547, 27.327836990356445, 29.073801040649414, 14.450833320617676, 23.120258331298828, 17.708391189575195, 22.94554328918457, 19.514753341674805, 18.388864517211914, 29.377941131591797, 16.180856704711914, 28.685373306274414, 17.708391189575195, 23.760976791381836, 21.12745475769043, 21.12745475769043, 19.42479133605957, 19.271879196166992, 21.12745475769043, 20.02224349975586, 22.984699249267578, 20.27717399597168, 20.49679946899414, 24.29338264465332, 21.12745475769043, 20.02224349975586, 20.04258155822754]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
-1,-1,68.83333587646484,77.0,"[17.27144432067871, 22.073637008666992, 18.234426498413086, 10.549086570739746, 19.277040481567383, 19.716520309448242, 25.785703659057617, 16.033945083618164, 19.716522216796875, 29.18109893798828, 25.40370750427246, 27.010896682739258, 17.257381439208984, 21.53505516052246, 16.590517044067383, 21.38490104675293, 18.234426498413086, 17.194095611572266, 27.275182723999023, 15.179253578186035, 26.62990379333496, 16.590517044067383, 22.13677406311035, 19.716522216796875, 19.716522216796875, 18.14459991455078, 18.0170955657959, 19.716522216796875, 18.702165603637695, 21.408668518066406, 18.91929054260254, 19.127225875854492, 22.609895706176758, 19.716522216796875, 18.702165603637695, 18.96384620666504]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
-1,-1,65.0,70.0,"[21.56248664855957, 27.578853607177734, 22.817270278930664, 19.48788833618164, 24.08903694152832, 24.640710830688477, -6.463100433349609, 20.009353637695312, 24.64071273803711, 36.59943771362305, 31.718822479248047, 33.67656707763672, 32.09444046020508, 26.97170066833496, 20.675222396850586, 26.711631774902344, 22.817270278930664, 21.577808380126953, 2.7335734367370605, 18.992656707763672, 33.386043548583984, 20.675222396850586, 27.618375778198242, 24.64071273803711, 24.64071273803711, 22.75769805908203, 22.506446838378906, 24.64071273803711, 23.382753372192383, 26.83086585998535, 23.775802612304688, 23.98563003540039, 28.319992065429688, 23.38275146484375, 24.80628204345703]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,50.64706039428711,49.0,"[24.6182918548584, 28.212738037109375, 25.989723205566406, 15.631053924560547, 27.456235885620117, 28.077444076538086, 36.668941497802734, 16.130889892578125, 28.077444076538086, 41.476680755615234, 35.23414611816406, 37.70100021362305, 30.659421920776367, 23.64854621887207, 24.80891227722168, 25.989723205566406, 24.533151626586914, 38.76214599609375, 21.672334671020508, 37.86707305908203, 23.64854621887207, 31.486675262451172, 28.077444076538086, 28.077444076538086, 25.874467849731445, 18.78810691833496, 28.077444076538086, 26.646461486816406, 30.484235763549805, 24.936315536499023, 27.26268196105957, 32.17864990234375, 26.646461486816406, 27.255922317504883]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,47.764705657958984,42.0,"[25.2606258392334, 32.23016357421875, 26.701080322265625, 22.844158172607422, 28.18427276611328, 28.822154998779297, -2.175886392593384, 23.462345123291016, 28.822158813476562, 42.6472053527832, 37.03410720825195, 39.316978454589844, 31.509492874145508, 24.242069244384766, 31.226112365722656, 26.701080322265625, 25.249176025390625, 1.073479175567627, 22.271249771118164, 38.92973327636719, 24.242069244384766, 32.28586196899414, 28.822158813476562, 28.822158813476562, 26.61953353881836, 26.351396560668945, 28.822158813476562, 27.361597061157227, 31.340492248535156, 27.78521156311035, 28.042705535888672, 33.0693244934082, 27.361597061157227, 28.981260299682617]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,45.088233947753906,35.0,"[23.125141143798828, 22.985624313354492, 24.50467872619629, 9.735474586486816, 25.810884475708008, 26.392623901367188, 34.556121826171875, 10.582976341247559, 26.392623901367188, 39.135841369628906, 31.584548950195312, 34.117454528808594, 28.917102813720703, 22.149662017822266, 18.451887130737305, 24.50467872619629, 23.27010726928711, 36.403175354003906, 20.471885681152344, 35.72319030761719, 22.149662017822266, 29.475631713867188, 26.392623901367188, 26.392623901367188, 24.50558090209961, 12.702130317687988, 26.392623901367188, 25.078706741333008, 28.785259246826172, 20.94784164428711, 25.79875373840332, 30.339258193969727, 25.078706741333008, 24.894777297973633]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
-1,-1,35.6363639831543,35.0,"[25.567487716674805, 32.64577865600586, 27.10894775390625, 23.2037296295166, 28.560344696044922, 29.20829200744629, -22.12024688720703, 23.73700714111328, 29.20829200744629, 43.411895751953125, 37.47140884399414, 39.69887924194336, 32.02558517456055, 24.477508544921875, 31.617856979370117, 27.10894775390625, 25.740556716918945, -7.401519298553467, 22.617713928222656, 39.60917663574219, 24.477508544921875, 32.63650894165039, 29.20829200744629, 29.20829200744629, 27.115575790405273, 26.69101905822754, 29.20829200744629, 27.746185302734375, 31.880395889282227, 28.37519645690918, 28.55556869506836, 27.746185302734375, 29.618602752685547]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
-1,-1,33.93939208984375,35.0,"[24.350637435913086, 26.01002311706543, 25.750953674316406, 16.40593910217285, 27.142667770385742, 27.749977111816406, 36.22297286987305, 12.45151138305664, 27.749977111816406, 40.971588134765625, 34.164756774902344, 36.63236618041992, 30.340829849243164, 23.360458374023438, 21.376724243164062, 25.750953674316406, 24.40794563293457, 38.198570251464844, 21.536598205566406, 37.422489166259766, 23.360458374023438, 31.014366149902344, 27.749977111816406, 27.749977111816406, 25.70635223388672, 14.880266189575195, 27.749977111816406, 26.36736297607422, 30.189712524414062, 23.62511444091797, 27.059228897094727, 26.36736297607422, 27.146108627319336]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
-1,-1,28.933332443237305,28.0,"[25.976455688476562, 25.339136123657227, 27.574520111083984, 9.79577922821045, 25.133073806762695, 29.6660213470459, 13.329301834106445, 29.66602325439453, 44.08699417114258, 27.842802047729492, 34.29290771484375, 32.530086517333984, 6.970447540283203, 27.574520111083984, 22.025779724121094, 2.056110143661499, 23.021167755126953, 40.23088836669922, 24.84644889831543, 33.0814323425293, 29.66602325439453, 29.66602325439453, 27.596370697021484, 15.883744239807129, 29.66602325439453, 23.463855743408203, 32.41391372680664, 19.621089935302734, 29.047903060913086, 27.661251068115234]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
-1,-1,20.766666412353516,21.0,"[31.43230628967285, 34.61994552612305, 33.210044860839844, 21.561979293823242, 34.99777603149414, 35.77411651611328, 20.507246017456055, 35.77412033081055, 52.650325775146484, 44.126678466796875, 47.253604888916016, 39.07228088378906, 30.175249099731445, 33.210044860839844, 31.47650909423828, 49.13016128540039, 27.8214111328125, 48.11762619018555, 30.175249099731445, 39.96123123168945, 35.77412033081055, 35.77412033081055, 33.138954162597656, 23.65056037902832, 35.77412033081055, 34.00331115722656, 38.874935150146484, 30.931472778320312, 34.8692512512207, 34.98081970214844]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
