CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,116.30769348144531,126.0,"[31.54644775390625, 18.038949966430664, 24.369930267333984, 36.28947830200195, 29.61212921142578, 23.75507164001465, 36.810447692871094, 28.190988540649414, 25.93691635131836, 28.190988540649414, 26.74559783935547, 30.583087921142578, 28.190988540649414]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,107.33333587646484,112.0,"[34.15630340576172, 17.006996154785156, 26.35704803466797, 39.30731964111328, 25.6870174407959, 39.88286590576172, 30.511459350585938, 28.069908142089844, 30.511459350585938, 28.942007064819336, 33.116939544677734, 30.511459350585938]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,94.5,98.0,"[33.55902099609375, 17.134920120239258, 25.875244140625, 38.61787033081055, 25.207046508789062, 39.226478576660156, 29.976051330566406, 27.606660842895508, 29.976051330566406, 28.43587875366211, 32.56874084472656, 29.976051330566406]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,80.5,84.0,"[33.129058837890625, 17.6746768951416, 25.546247482299805, 38.103546142578125, 24.87774085998535, 38.75091552734375, 29.60205841064453, 27.30430030822754, 29.60205841064453, 28.088930130004883, 32.189674377441406, 29.60205841064453]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,73.5,84.0,"[31.134382247924805, 16.104759216308594, 24.037364959716797, 35.796905517578125, 23.41510581970215, 36.385215759277344, 27.829999923706055, 19.578712463378906, 27.829999923706055, 26.411245346069336, 30.240928649902344, 27.829999923706055]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,67.45454406738281,70.0,"[28.606491088867188, 8.504252433776855, 21.99738311767578, 32.858642578125, 21.367572784423828, 33.67706298828125, 25.588876724243164, 25.588876724243164, 24.280414581298828, 27.95836639404297, 25.588876724243164]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,59.818180084228516,70.0,"[18.09568214416504, 1.7670361995697021, 13.776988983154297, 20.750083923339844, 13.30539321899414, 21.586156845092773, 16.1757869720459, 16.1757869720459, 15.38195514678955, 17.93931770324707, 16.1757869720459]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,42.0,42.0,"[25.003158569335938, 17.760272979736328, 19.35931396484375, 28.711570739746094, 18.864757537841797, 29.17790985107422, 22.375083923339844, 22.375083923339844, 21.24661636352539, 24.291423797607422, 22.375083923339844]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,29.399999618530273,28.0,"[30.709951400756836, 21.833751678466797, 23.77423667907715, 35.253150939941406, 23.159334182739258, 35.86299514770508, 2.628933906555176, 26.10587501525879, 29.865076065063477, 27.487300872802734]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,22.399999618530273,28.0,"[26.880165100097656, 19.156761169433594, 20.721912384033203, 26.241207122802734, 20.130046844482422, 18.615938186645508, -5.63857889175415, 8.566485404968262, 26.32124900817871, 24.063644409179688]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,14.0,14.0,"[22.349632263183594, 22.245891571044922, 24.150239944458008, 18.380292892456055, 20.5897216796875, 18.648359298706055, -22.995620727539062, 3.78090238571167, 30.55414581298828, 5.515374183654785]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,8.75,0.0,"[14.04481315612793, 4.122691631317139, 11.426496505737305, 14.066659927368164, -3.6090829372406006, 2.973512887954712, 21.806711196899414, -19.75851058959961]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
-1,-1,11.199999809265137,14.0,"[19.212177276611328, 17.087467193603516, 12.174665451049805, 25.4295654296875, -32.198360443115234]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
-1,-1,0.0,0.0,[-2.6336727142333984],2023-07-03T00:00:00.000000000,['USA']
-1,-1,-1,-1,[],2023-07-17T00:00:00.000000000,[]
