CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,84.0,84.0,"[28.292247772216797, 12.310216903686523, 28.292247772216797, 24.911291122436523, 23.674945831298828]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,75.5999984741211,70.0,"[26.588544845581055, 13.742023468017578, 26.588544845581055, 23.7741641998291, 23.79929542541504]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,47.599998474121094,42.0,"[38.41731262207031, 21.158472061157227, 38.41731262207031, 34.817081451416016, 34.684783935546875]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,"[43.31412887573242, 24.715953826904297, 43.31412887573242, 39.72328567504883, 38.846309661865234]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[50.500648498535156, 30.859432220458984, 50.500648498535156, 46.95920944213867, 45.99052429199219]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,36.400001525878906,42.0,"[75.6653060913086, 45.071929931640625, 75.6653060913086, 70.00631713867188, 68.64991760253906]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,33.599998474121094,28.0,"[56.55264663696289, 35.78341293334961, 56.552650451660156, 53.00084686279297, 51.791378021240234]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,9.333333015441895,0.0,"[6.260465621948242, 37.81047821044922, 51.74451446533203]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[32.089683532714844],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,[43.907249450683594],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[35.46367645263672],2021-04-26T00:00:00.000000000,['Panama']
"[[78  3]
 [ 1  5]]",0.8446428775787354,-1,-1,"[[0.8166500329971313], [0.044585589319467545], [0.045102670788764954], [0.0439579002559185], [0.045102670788764954], [0.0457850806415081], [0.044690296053886414], [0.044585611671209335], [0.9210692644119263], [0.0457850806415081], [0.044154100120067596], [0.044585611671209335], [0.06361634284257889], [0.8126291036605835], [0.039402712136507034], [0.6080523133277893], [0.7630918622016907], [0.04538990184664726], [0.04526592791080475], [0.045693736523389816], [0.044585589319467545], [0.4146398901939392], [0.043349046260118484], [0.044585589319467545], [0.042836759239435196], [0.04302942752838135], [0.043481551110744476], [0.042405445128679276], [0.044585589319467545], [0.04508887231349945], [0.044585589319467545], [0.045102670788764954], [0.044585589319467545], [0.044585589319467545], [0.0426122285425663], [0.044409532099962234], [0.045102670788764954], [0.044585611671209335], [0.04409661144018173], [0.044585589319467545], [0.043439168483018875], [0.045102670788764954], [0.043205276131629944], [0.044585611671209335], [0.04353836551308632], [0.045671284198760986], [0.042292479425668716], [0.044585589319467545], [0.044585589319467545], [0.0428319089114666], [0.045874349772930145], [0.0458688922226429], [0.044585589319467545], [0.044585589319467545], [0.043349046260118484], [0.045874349772930145], [0.7642034888267517], [0.044416334480047226], [0.7166798114776611], [0.0457850806415081], [0.042737703770399094], [0.045102670788764954], [0.043753381818532944], [0.045261818915605545], [0.044585589319467545], [0.045102670788764954], [0.044585589319467545], [0.04538990184664726], [0.04493402689695358], [0.04496949538588524], [0.044585611671209335], [0.044585589319467545], [0.04489089176058769], [0.0457850806415081], [0.7927530407905579], [0.044516824185848236], [0.04542737454175949], [0.0460079126060009], [0.0451359823346138], [0.044585589319467545], [0.044154100120067596], [0.04458559304475784], [0.043753381818532944], [0.04307251796126366], [0.045102670788764954], [0.04489089921116829], [0.04531538113951683]]",2021-05-10T00:00:00.000000000,[]
