CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,89.83333587646484,84.0,"[33.45490646362305, 26.665098190307617, 17.327455520629883, 61.05864334106445, 45.96533203125, 39.81536865234375, 74.85722351074219, 57.16816329956055, 53.56648254394531, 61.058650970458984, 60.511653900146484, 61.058650970458984, 46.81806945800781, 51.511470794677734, 31.52444839477539, 26.49363136291504, 75.73149871826172, 70.83187866210938, 37.28398132324219, 42.48091125488281, 84.34146881103516, 33.013919830322266, 20.518205642700195, 51.511470794677734, 48.51544952392578, 46.43642044067383, 61.058650970458984, 39.81976318359375, 61.05864334106445, 52.35755157470703, 52.8600959777832, 45.7235107421875, 61.058650970458984, 65.75273895263672, 46.58910369873047, 52.35755157470703]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[22 28]
 [ 0 37]]",0.6683006286621094,66.88888549804688,70.0,"[40.08298873901367, 32.74349594116211, 31.234010696411133, 72.08332061767578, 54.676918029785156, 47.367557525634766, 88.27368927001953, 67.82898712158203, 63.799739837646484, 72.08332824707031, 71.38511657714844, 72.08332824707031, 55.63075256347656, 60.97274398803711, 37.91503143310547, 32.02944564819336, 89.23664855957031, 83.52474212646484, 44.44176483154297, 51.28630447387695, 99.2467041015625, 39.47718811035156, 32.41960906982422, 60.97274398803711, 57.6788215637207, 55.08140563964844, 72.08332824707031, 47.41050720214844, 72.08332061767578, 61.97827911376953, 62.60712814331055, 54.39714431762695, 72.08332824707031, 77.70956420898438, 55.27803039550781, 61.978275299072266]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[22 28]
 [ 0 37]]",0.6683006286621094,48.61111068725586,42.0,"[45.0964469909668, 37.463722229003906, 34.199920654296875, 80.10824584960938, 61.14947509765625, 52.982666015625, 98.00515747070312, 75.70101928710938, 71.41740417480469, 80.10824584960938, 79.28388977050781, 80.10824584960938, 62.16033172607422, 67.9117431640625, 42.79044723510742, 36.300559997558594, 99.01106262207031, 92.7315673828125, 49.789817810058594, 57.94758605957031, 109.99022674560547, 44.34446716308594, 35.7398796081543, 67.9117431640625, 64.47689819335938, 61.458473205566406, 80.10824584960938, 53.06535339355469, 80.10824584960938, 69.03518676757812, 69.76683807373047, 60.84391403198242, 80.10824584960938, 86.47266387939453, 61.692100524902344, 69.03518676757812]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,27.22222137451172,28.0,"[70.29365539550781, 58.1102180480957, 51.113704681396484, 125.33430480957031, 95.52748107910156, 82.69369506835938, 153.4640350341797, 118.29231262207031, 111.50160217285156, 125.33432006835938, 124.04011535644531, 125.33432006835938, 97.11758422851562, 106.16183471679688, 66.66656494140625, 56.465538024902344, 155.0467529296875, 145.17587280273438, 77.67410278320312, 90.13262939453125, 172.30589294433594, 69.11407470703125, 54.21241760253906, 106.16183471679688, 100.75714874267578, 96.01712799072266, 125.33432006835938, 82.82264709472656, 125.33430480957031, 107.92729187011719, 109.07621765136719, 95.047119140625, 125.33432006835938, 135.27989196777344, 96.38387298583984, 107.92729187011719]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 26]
 [ 0 37]]",0.6943243145942688,22.399999618530273,14.0,"[52.53042221069336, 46.862239837646484, 34.64247512817383, 89.49492645263672, 40.33756637573242, 59.87742614746094, 109.17634582519531, 86.07875061035156, 82.25204467773438, 89.49493408203125, 88.53114318847656, 89.49493408203125, 70.25967407226562, 76.17510223388672, 51.167869567871094, 44.25065994262695, 110.21876525878906, 103.35067749023438, 56.73611068725586, 68.94282531738281, 122.19901275634766, 51.151588439941406, 37.848846435546875, 76.17510223388672, 73.93440246582031, 60.96957778930664, 89.49493408203125, 60.257816314697266, 89.49492645263672, 77.42355346679688, 78.2679214477539, 89.49493408203125, 97.3037109375, 69.41735076904297, 77.42355346679688]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 26]
 [ 0 37]]",0.6943243145942688,19.600000381469727,14.0,"[44.52012252807617, 37.021453857421875, 36.31859588623047, 76.9495849609375, 43.54942321777344, 51.729736328125, 93.73355102539062, 73.00080871582031, 69.03889465332031, 76.94960021972656, 76.11761474609375, 76.94960021972656, 60.38539505004883, 65.60698699951172, 42.45888900756836, 36.39059066772461, 94.61128997802734, 88.76092529296875, 48.781761169433594, 56.13748550415039, 104.81136322021484, 43.72267532348633, 37.11177444458008, 65.60698699951172, 62.616851806640625, 55.060447692871094, 76.94960021972656, 51.84672927856445, 76.9495849609375, 66.67393493652344, 67.4010009765625, 76.94960021972656, 83.00933074951172, 59.85854721069336, 66.67393493652344]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,38.0,42.0,"[65.17929077148438, 55.26985549926758, 55.196449279785156, 112.22318267822266, 63.57297897338867, 75.668212890625, 136.50485229492188, 106.42323303222656, 100.6703872680664, 112.22319030761719, 111.03810119628906, 112.22319030761719, 88.1751708984375, 95.7835693359375, 62.16533660888672, 53.38054275512695, 137.79534912109375, 129.31935119628906, 71.38873291015625, 82.36121368408203, 152.5823211669922, 64.05465698242188, 56.137733459472656, 95.7835693359375, 91.3848876953125, 80.66582489013672, 112.22319030761719, 75.82504272460938, 112.22318267822266, 97.32293701171875, 98.36190032958984, 112.22319030761719, 120.95095825195312, 87.44058990478516, 97.32293701171875]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,28.42424201965332,28.0,"[44.83420181274414, 40.18556213378906, 91.10408020019531, 48.020294189453125, 61.94023132324219, 110.4693374633789, 86.46542358398438, 81.85000610351562, 91.10408020019531, 90.16172790527344, 91.10408020019531, 41.162593841552734, 77.98857116699219, 51.157779693603516, 44.15082931518555, 111.50164031982422, 104.739990234375, 58.525047302246094, 54.285675048828125, 123.2991714477539, 52.673683166503906, 41.322837829589844, 77.98857116699219, 74.4696044921875, 65.65341186523438, 91.10408020019531, 91.10408020019531, 79.21561431884766, 80.04228973388672, 91.10408020019531, 98.05888366699219, 71.33084869384766, 79.21562194824219]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,18.8125,14.0,"[30.406858444213867, 29.5808162689209, 65.39655303955078, 40.33464050292969, 38.938697814941406, -21.511695861816406, 53.486671447753906, 45.09487533569336, 65.39655303955078, 64.71329498291016, 65.39655303955078, 22.633590698242188, 39.29631042480469, 38.21830368041992, 33.40888214111328, -20.778926849365234, -18.767833709716797, 36.58434295654297, 37.29380798339844, 87.44750213623047, 33.89665603637695, 27.08578109741211, 56.43104934692383, 14.33212947845459, 39.934024810791016, 65.39655303955078, 54.268592834472656, 19.859760284423828, 65.39655303955078, -11.731690406799316, 33.75267791748047, 40.27812957763672]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,20.53333282470703,14.0,"[29.680112838745117, 30.883756637573242, 44.06562423706055, 38.591678619384766, 37.4859504699707, -144.75140380859375, 47.61857604980469, 42.36366653442383, 62.53337478637695, 61.9329948425293, 62.53337478637695, 35.9998779296875, 36.55492401123047, 32.02372360229492, -139.94418334960938, -127.53482055664062, 35.60477828979492, 9.816164016723633, 83.45011138916016, 33.420345306396484, 27.935945510864258, 38.06121826171875, 14.245077133178711, 36.080078125, 44.06562423706055, 38.738380432128906, -6.517195224761963, 62.53337478637695, -109.36376953125, 36.86833953857422]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
