CF1,f11,MAE1,MAE2,pred,date,countries
"[[50.  1.]
 [34.  2.]]",0.4216524362564087,-1,-1,"[[0.09830234944820404], [0.08022813498973846], [0.11042074114084244], [0.058621570467948914], [0.09708548337221146], [0.6046130657196045], [0.08501210063695908], [0.08022814989089966], [0.05049538612365723], [0.13019604980945587], [0.06980085372924805], [0.09824800491333008], [0.03497150167822838], [0.1022784560918808], [0.06975693255662918], [0.05280010774731636], [0.11406705528497696], [0.12915875017642975], [0.0841643363237381], [0.1266821324825287], [0.08022813498973846], [0.11380982398986816], [0.026181142777204514], [0.08022813498973846], [0.021675419062376022], [0.037290673702955246], [0.03722960874438286], [0.030009619891643524], [0.08022813498973846], [0.09659979492425919], [0.08022813498973846], [0.08068358898162842], [0.08022813498973846], [0.08022813498973846], [0.6097367405891418], [0.06259876489639282], [0.12079518288373947], [0.08022814989089966], [0.06435854732990265], [0.08022813498973846], [0.03497150167822838], [0.09708548337221146], [0.02610693871974945], [0.08022814989089966], [0.03010113723576069], [0.1102965697646141], [0.035538408905267715], [0.08022813498973846], [0.08022813498973846], [0.02859903685748577], [0.39427804946899414], [0.14286379516124725], [0.08022813498973846], [0.08022813498973846], [0.031026916578412056], [0.39427804946899414], [0.08191169798374176], [0.07803919911384583], [0.055719006806612015], [0.13019604980945587], [0.021806662902235985], [0.12079518288373947], [0.05836503207683563], [0.09414654970169067], [0.08022813498973846], [0.09708548337221146], [0.08022813498973846], [0.09769292920827866], [0.07275697588920593], [0.10023539513349533], [0.08022814989089966], [0.08022813498973846], [0.09154018014669418], [0.6046130657196045], [0.13918368518352509], [0.06356703490018845], [0.08790568262338638], [0.13009756803512573], [0.08596641570329666], [0.08022813498973846], [0.05412859469652176], [0.08022813498973846], [0.05836503207683563], [0.03226781636476517], [0.09708550572395325], [0.09154018014669418], [0.08470270037651062]]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[50.  1.]
 [34.  2.]]",0.4216524362564087,-1,-1,"[[0.2047567069530487], [0.18042635917663574], [0.22031253576278687], [0.14802251756191254], [0.2029503434896469], [0.7081546187400818], [0.187103271484375], [0.18042635917663574], [0.1346491426229477], [0.24302548170089722], [0.1655685156583786], [0.20551103353500366], [0.10561156272888184], [0.21000897884368896], [0.14288897812366486], [0.13820774853229523], [0.22490446269512177], [0.24265678226947784], [0.18486076593399048], [0.23905782401561737], [0.18042635917663574], [0.22389553487300873], [0.0869276374578476], [0.18042635917663574], [0.07687020301818848], [0.11076120287179947], [0.11008944362401962], [0.09637826681137085], [0.18042635917663574], [0.20232626795768738], [0.18042635917663574], [0.18017099797725677], [0.18042635917663574], [0.18042635917663574], [0.7622499465942383], [0.15381135046482086], [0.2332179993391037], [0.18042635917663574], [0.15712779760360718], [0.18042635917663574], [0.10561156272888184], [0.2029503434896469], [0.08690133690834045], [0.18042635917663574], [0.09535074234008789], [0.21900150179862976], [0.10813361406326294], [0.18042635917663574], [0.18042635917663574], [0.09283890575170517], [0.4215680956840515], [0.257465124130249], [0.18042635917663574], [0.18042635917663574], [0.09752850234508514], [0.4215680956840515], [0.18286000192165375], [0.17752590775489807], [0.1431949883699417], [0.24302548170089722], [0.07727675139904022], [0.2332179993391037], [0.1479121446609497], [0.19869142770767212], [0.18042635917663574], [0.2029503434896469], [0.18042635917663574], [0.20320920646190643], [0.16876809298992157], [0.20739783346652985], [0.18042635917663574], [0.18042635917663574], [0.19583818316459656], [0.7081546187400818], [0.2538142800331116], [0.15519385039806366], [0.18982239067554474], [0.250568151473999], [0.18763941526412964], [0.18042635917663574], [0.1401728093624115], [0.18042635917663574], [0.1479121446609497], [0.10045327991247177], [0.2029503434896469], [0.19583818316459656], [0.19100172817707062]]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[50.  1.]
 [33.  3.]]",0.44813433289527893,-1,-1,"[[0.10089140385389328], [0.08161579817533493], [0.1140342652797699], [0.058797530829906464], [0.09948700666427612], [0.14143699407577515], [0.08671454340219498], [0.08161581307649612], [0.050323694944381714], [0.13500472903251648], [0.07066264003515244], [0.10119865089654922], [0.9923474788665771], [0.10522483289241791], [0.008403778076171875], [0.05261554196476936], [0.11802733689546585], [0.13429735600948334], [0.08536843955516815], [0.13124924898147583], [0.08161579817533493], [0.11741943657398224], [0.025069553405046463], [0.08161579817533493], [0.020603440701961517], [0.0366484671831131], [0.036427754908800125], [0.02925717458128929], [0.08161579817533493], [0.09897064417600632], [0.08161579817533493], [0.7501823306083679], [0.08161579817533493], [0.08161579817533493], [0.03517094627022743], [0.06279173493385315], [0.12541045248508453], [0.08161581307649612], [0.06485376507043839], [0.08161579817533493], [0.03409344330430031], [0.09948700666427612], [0.02502845972776413], [0.08161581307649612], [0.029033470898866653], [0.11335894465446472], [0.03506626561284065], [0.08161579817533493], [0.08161579817533493], [0.9662680625915527], [0.08877295255661011], [0.1488301008939743], [0.08161579817533493], [0.08161579817533493], [0.03003956936299801], [0.08877295255661011], [0.08343535661697388], [0.07937081903219223], [0.055715784430503845], [0.13500472903251648], [0.020756376907229424], [0.12541045248508453], [0.05863368511199951], [0.09616301953792572], [0.08161579817533493], [0.09948700666427612], [0.08161579817533493], [0.09990328550338745], [0.07333727180957794], [0.10303147882223129], [0.08161581307649612], [0.08161579817533493], [0.09363726526498795], [0.14143699407577515], [0.1450621634721756], [0.06376375257968903], [0.08928149193525314], [0.12322763353586197], [0.08740966767072678], [0.08161579817533493], [0.05391824245452881], [0.99552983045578], [0.05863368511199951], [0.031403593719005585], [0.09948700666427612], [0.09363724291324615], [0.07960548996925354]]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[48.  3.]
 [31.  5.]]",0.48286712169647217,-1,-1,"[[0.10759638994932175], [0.08578815311193466], [0.12283136695623398], [0.34165143966674805], [0.1058342307806015], [0.7346888780593872], [0.09267418831586838], [0.08578817546367645], [0.05111509561538696], [0.1467762142419815], [0.07367205619812012], [0.10853879898786545], [0.03338227793574333], [0.11265264451503754], [0.1539713591337204], [0.05344336852431297], [0.1275235414505005], [0.7385165691375732], [0.15173469483852386], [0.1421072632074356], [0.08578815311193466], [0.12628725171089172], [0.023821132257580757], [0.08578815311193466], [0.01933274231851101], [0.06296706199645996], [0.03588643670082092], [0.043527327477931976], [0.08578815311193466], [0.10525244474411011], [0.08578815311193466], [0.08534939587116241], [0.08578815311193466], [0.08578815311193466], [0.7757939696311951], [0.06449125707149506], [0.1362253874540329], [0.08578817546367645], [0.7293139100074768], [0.08578815311193466], [0.03338227793574333], [0.1058342307806015], [0.02382749691605568], [0.08578817546367645], [0.027927681803703308], [0.12118012458086014], [0.0351334810256958], [0.08578815311193466], [0.08578815311193466], [0.026768090203404427], [0.6110072135925293], [0.16491110622882843], [0.08578815311193466], [0.08578815311193466], [0.0290745310485363], [0.6110072135925293], [0.0878840833902359], [0.08339184522628784], [0.05691554397344589], [0.1467762142419815], [0.019519297406077385], [0.1362253874540329], [0.0603523775935173], [0.10176786780357361], [0.08578815311193466], [0.1058342307806015], [0.08578815311193466], [0.10593190044164658], [0.13034453988075256], [0.7391077876091003], [0.08578817546367645], [0.08578815311193466], [0.09931828081607819], [0.7346888780593872], [0.15853294730186462], [0.06549403816461563], [0.2723830044269562], [0.16573260724544525], [0.09182116389274597], [0.08578815311193466], [0.05473713204264641], [0.08578815311193466], [0.0603523775935173], [0.03065378963947296], [0.1058342307806015], [0.09931828081607819], [0.09607522934675217]]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[50.  1.]
 [33.  3.]]",0.44813433289527893,-1,-1,"[[0.2542278468608856], [0.20291206240653992], [0.2663741111755371], [0.20659886300563812], [0.24924586713314056], [0.3364477753639221], [0.2708854377269745], [0.2029121071100235], [0.19598017632961273], [0.3294171988964081], [0.22056888043880463], [0.2727482318878174], [0.9930064678192139], [0.259473592042923], [0.11161934584379196], [0.18009278178215027], [0.2720899283885956], [0.3025631308555603], [0.22520551085472107], [0.2963668406009674], [0.20291206240653992], [0.2717233896255493], [0.11210142821073532], [0.20291206240653992], [0.1022270917892456], [0.1710803061723709], [0.1343565583229065], [0.18371610343456268], [0.20291206240653992], [0.23843492567539215], [0.20291206240653992], [0.8224287033081055], [0.20291206240653992], [0.20291206240653992], [0.24707353115081787], [0.19670361280441284], [0.295062780380249], [0.2029121071100235], [0.21959617733955383], [0.20291206240653992], [0.13001282513141632], [0.24924586713314056], [0.11206314712762833], [0.2029121071100235], [0.12007661163806915], [0.2682948708534241], [0.2178654819726944], [0.20291206240653992], [0.20291206240653992], [0.9699941277503967], [0.2517451345920563], [0.32566604018211365], [0.20291206240653992], [0.20291206240653992], [0.12208612263202667], [0.2517451345920563], [0.22541259229183197], [0.21934932470321655], [0.1951952874660492], [0.3294171988964081], [0.11184252053499222], [0.295062780380249], [0.21024826169013977], [0.2407742589712143], [0.20291206240653992], [0.24924586713314056], [0.20291206240653992], [0.2496713250875473], [0.2093823105096817], [0.26163896918296814], [0.2029121071100235], [0.20291206240653992], [0.24894045293331146], [0.3364477753639221], [0.3306015729904175], [0.20617379248142242], [0.22555659711360931], [0.32937151193618774], [0.22651167213916779], [0.20291206240653992], [0.1751846969127655], [0.9942280054092407], [0.21024826169013977], [0.14172102510929108], [0.24924589693546295], [0.24894045293331146], [0.22179223597049713]]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[50.  1.]
 [31.  5.]]",0.4978354871273041,-1,-1,"[[0.2579977810382843], [0.22681647539138794], [0.2659663259983063], [0.4031636416912079], [0.251390665769577], [0.6512326002120972], [0.270822137594223], [0.22681647539138794], [0.2158677726984024], [0.30599066615104675], [0.23312902450561523], [0.27757689356803894], [0.1658574789762497], [0.26153454184532166], [0.3316024839878082], [0.2026228904724121], [0.2747250199317932], [0.622861921787262], [0.28616994619369507], [0.28475573658943176], [0.22681647539138794], [0.2633926272392273], [0.14654947817325592], [0.22681647539138794], [0.1387500911951065], [0.24241766333580017], [0.1675814837217331], [0.23714490234851837], [0.22681647539138794], [0.24058173596858978], [0.22681647539138794], [0.23577980697155], [0.22681647539138794], [0.22681647539138794], [0.6885250210762024], [0.21448859572410583], [0.2906988859176636], [0.22681647539138794], [0.5627695322036743], [0.22681647539138794], [0.1658574789762497], [0.251390665769577], [0.14655661582946777], [0.22681647539138794], [0.1539851278066635], [0.2640383839607239], [0.23467804491519928], [0.22681647539138794], [0.22681647539138794], [0.17105476558208466], [0.4888204038143158], [0.3048134446144104], [0.22681647539138794], [0.22681647539138794], [0.15861231088638306], [0.4888204038143158], [0.2391078770160675], [0.23302620649337769], [0.214005708694458], [0.30599066615104675], [0.14948785305023193], [0.2906988859176636], [0.23030902445316315], [0.24249552190303802], [0.22681647539138794], [0.251390665769577], [0.22681647539138794], [0.2506882846355438], [0.2734505832195282], [0.6094452738761902], [0.22681647539138794], [0.22681647539138794], [0.25593599677085876], [0.6512326002120972], [0.30626019835472107], [0.22159302234649658], [0.34959354996681213], [0.3205072581768036], [0.23863038420677185], [0.22681647539138794], [0.19519087672233582], [0.22681647539138794], [0.23030902445316315], [0.17894898355007172], [0.251390665769577], [0.25593599677085876], [0.24529188871383667]]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[50.  1.]
 [33.  3.]]",0.44813433289527893,-1,-1,"[[0.2742777466773987], [0.2550567388534546], [0.28630346059799194], [0.227731391787529], [0.2727307379245758], [0.3076617419719696], [0.26044657826423645], [0.25505679845809937], [0.21578368544578552], [0.3026088774204254], [0.3352137804031372], [0.2753966450691223], [0.9995673298835754], [0.2784150540828705], [0.11276637762784958], [0.21876569092273712], [0.28982681035995483], [0.30284279584884644], [0.25792333483695984], [0.2997700273990631], [0.2550567388534546], [0.28863590955734253], [0.16703717410564423], [0.2550567388534546], [0.1557517796754837], [0.19298647344112396], [0.25484499335289], [0.17841491103172302], [0.2550567388534546], [0.4010978937149048], [0.2550567388534546], [0.5588683485984802], [0.2550567388534546], [0.2550567388534546], [0.1907242387533188], [0.2324109971523285], [0.2961410582065582], [0.25505679845809937], [0.23569431900978088], [0.2550567388534546], [0.18726082146167755], [0.2727307379245758], [0.16713538765907288], [0.25505679845809937], [0.1762303113937378], [0.284584105014801], [0.19102025032043457], [0.2550567388534546], [0.2550567388534546], [0.9973124265670776], [0.26043257117271423], [0.31311991810798645], [0.2550567388534546], [0.2550567388534546], [0.178769052028656], [0.26043257117271423], [0.25707465410232544], [0.25283536314964294], [0.22336480021476746], [0.3026088774204254], [0.15632346272468567], [0.2961410582065582], [0.2278590202331543], [0.30100908875465393], [0.2550567388534546], [0.2727307379245758], [0.2550567388534546], [0.2725867033004761], [0.2448309063911438], [0.2764112949371338], [0.25505679845809937], [0.2550567388534546], [0.2673020660877228], [0.3076617419719696], [0.31076881289482117], [0.2335158884525299], [0.26179173588752747], [0.292500376701355], [0.2603554129600525], [0.2550567388534546], [0.35223841667175293], [0.9999549388885498], [0.2278590202331543], [0.1821713149547577], [0.2727307379245758], [0.2673020660877228], [0.25145259499549866]]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[47.  4.]
 [30.  6.]]",0.4976222813129425,-1,-1,"[[0.18736135959625244], [0.17314425110816956], [0.1967068612575531], [0.65449458360672], [0.18595324456691742], [0.3873143792152405], [0.17713962495326996], [0.17314428091049194], [0.14481474459171295], [0.2083319127559662], [0.7407495379447937], [0.18910673260688782], [0.12384938448667526], [0.19063177704811096], [0.11950932443141937], [0.1465238779783249], [0.19952164590358734], [0.7418999075889587], [0.3063952326774597], [0.20624220371246338], [0.17314425110816956], [0.19787204265594482], [0.10924763977527618], [0.17314425110816956], [0.10179898887872696], [0.2293766736984253], [0.697120726108551], [0.18487101793289185], [0.17314425110816956], [0.7629020810127258], [0.17314425110816956], [0.1715281754732132], [0.17314425110816956], [0.17314425110816956], [0.37438079714775085], [0.156049445271492], [0.20459015667438507], [0.17314428091049194], [0.7097746729850769], [0.17314425110816956], [0.12384938448667526], [0.18595324456691742], [0.10951127111911774], [0.17314428091049194], [0.11564377695322037], [0.1941642016172409], [0.1283903867006302], [0.17314425110816956], [0.17314425110816956], [0.1151065081357956], [0.25736576318740845], [0.21710258722305298], [0.17314425110816956], [0.17314425110816956], [0.11775990575551987], [0.25736576318740845], [0.1747114658355713], [0.1717422604560852], [0.15000231564044952], [0.2083319127559662], [0.10233563184738159], [0.20459015667438507], [0.15374219417572021], [0.6444410085678101], [0.17314425110816956], [0.18595324456691742], [0.17314425110816956], [0.1852674037218094], [0.2900056838989258], [0.7387878894805908], [0.17314428091049194], [0.17314425110816956], [0.18210957944393158], [0.3873143792152405], [0.21542280912399292], [0.15670086443424225], [0.5186346769332886], [0.20803028345108032], [0.1762075275182724], [0.17314425110816956], [0.7821359038352966], [0.17314425110816956], [0.15374219417572021], [0.12065096944570541], [0.18595324456691742], [0.18210957944393158], [0.1749064326286316]]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[45.  6.]
 [24. 12.]]",0.5972222089767456,-1,-1,"[[0.12004353851079941], [0.07074399292469025], [0.12263418734073639], [0.29552972316741943], [0.11455963551998138], [0.658539354801178], [0.23281092941761017], [0.07074399292469025], [0.11147858202457428], [0.21300430595874786], [0.5574001669883728], [0.15066656470298767], [0.9990133047103882], [0.12257151305675507], [0.5685713291168213], [0.08060474693775177], [0.12545639276504517], [0.5568925142288208], [0.11237376183271408], [0.15243126451969147], [0.07074399292469025], [0.127877876162529], [0.042645398527383804], [0.07074399292469025], [0.03949524462223053], [0.5093634128570557], [0.18440426886081696], [0.27816277742385864], [0.07074399292469025], [0.5669404864311218], [0.07074399292469025], [0.3608670234680176], [0.07074399292469025], [0.07074399292469025], [0.7930536270141602], [0.08854062110185623], [0.7327871322631836], [0.07074399292469025], [0.5473442077636719], [0.07074399292469025], [0.04884637892246246], [0.11455963551998138], [0.04273364692926407], [0.07074399292469025], [0.045323245227336884], [0.18457405269145966], [0.22322838008403778], [0.07074399292469025], [0.07074399292469025], [0.9593040943145752], [0.5451935529708862], [0.182833731174469], [0.07074399292469025], [0.07074399292469025], [0.046175841242074966], [0.5451935529708862], [0.0989583358168602], [0.09642352163791656], [0.09828907996416092], [0.21300430595874786], [0.050647273659706116], [0.15535588562488556], [0.11721950024366379], [0.21205838024616241], [0.07074399292469025], [0.11455963551998138], [0.07074399292469025], [0.11545056104660034], [0.10501228272914886], [0.5423003435134888], [0.07074399292469025], [0.07074399292469025], [0.18476669490337372], [0.658539354801178], [0.19869880378246307], [0.10180462151765823], [0.23333993554115295], [0.2528259754180908], [0.09580487012863159], [0.07074399292469025], [0.5549992918968201], [0.9945189356803894], [0.11721950024366379], [0.06673143059015274], [0.11455963551998138], [0.6899872422218323], [0.10701009631156921]]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[47.  4.]
 [30.  6.]]",0.4976222813129425,-1,-1,"[[0.14132283627986908], [0.13248799741268158], [0.1474899798631668], [0.49553239345550537], [0.1401558667421341], [0.6331891417503357], [0.161298468708992], [0.13248798251152039], [0.1210632473230362], [0.18513545393943787], [0.641364336013794], [0.14345766603946686], [0.1002301275730133], [0.14355620741844177], [0.2868036925792694], [0.11532940715551376], [0.14940927922725677], [0.6548008322715759], [0.19783103466033936], [0.1659831404685974], [0.13248799741268158], [0.1475292295217514], [0.0899173840880394], [0.13248799741268158], [0.08528424054384232], [0.16611094772815704], [0.5179163217544556], [0.1585387885570526], [0.13248799741268158], [0.6466258764266968], [0.13248799741268158], [0.13030751049518585], [0.13248799741268158], [0.13248799741268158], [0.7444831132888794], [0.12104950845241547], [0.1528654396533966], [0.13248798251152039], [0.621017575263977], [0.13248799741268158], [0.1002301275730133], [0.1401558667421341], [0.09032915532588959], [0.13248798251152039], [0.09421197324991226], [0.15282683074474335], [0.13238213956356049], [0.13248799741268158], [0.13248799741268158], [0.09496533870697021], [0.3490791618824005], [0.18688136339187622], [0.13248799741268158], [0.13248799741268158], [0.0960313230752945], [0.3490791618824005], [0.13356342911720276], [0.13187769055366516], [0.11775975674390793], [0.18513545393943787], [0.08582411706447601], [0.1528654396533966], [0.12073247134685516], [0.42602115869522095], [0.13248799741268158], [0.1401558667421341], [0.13248799741268158], [0.1390671581029892], [0.1897493153810501], [0.6495840549468994], [0.13248798251152039], [0.13248799741268158], [0.1379888951778412], [0.6331891417503357], [0.17217989265918732], [0.13081559538841248], [0.31211209297180176], [0.21253052353858948], [0.13343451917171478], [0.13248799741268158], [0.6548787951469421], [0.13248799741268158], [0.12073247134685516], [0.09856089949607849], [0.1401558667421341], [0.13798891007900238], [0.13214634358882904]]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
