CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,100.80000305175781,98.0,"[6.51332426071167, 2.7783520221710205, 6.51332426071167, 5.763970851898193, 5.30097770690918]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,86.80000305175781,84.0,"[9.919693946838379, 3.7731618881225586, 9.919693946838379, 8.72979736328125, 7.7507195472717285]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,72.80000305175781,70.0,"[3.5749051570892334, 1.694893479347229, 3.5749051570892334, 3.1516082286834717, 3.1568691730499268]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,58.79999923706055,56.0,"[4.568141460418701, 2.142991065979004, 4.568141937255859, 4.0270161628723145, 4.004659652709961]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,36.400001525878906,28.0,"[15.889203071594238, 7.5104594230651855, 15.889203071594238, 14.031408309936523, 13.908555030822754]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,25.200000762939453,28.0,"[14.683732986450195, 6.803505897521973, 14.683732986450195, 12.929099082946777, 12.810996055603027]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,16.799999237060547,14.0,"[5.538041591644287, 2.700584888458252, 5.538040637969971, 4.915354251861572, 4.874513149261475]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,14.0,0.0,"[5.488001346588135, 12.406516075134277, 13.227669715881348]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,28.0,28.0,[5.473570823669434],2021-03-29T00:00:00.000000000,['Panama']
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,14.0,14.0,[2.9529690742492676],2021-04-12T00:00:00.000000000,['Panama']
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,0.0,0.0,[2.9356682300567627],2021-04-26T00:00:00.000000000,['Panama']
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,-1,-1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2021-05-10T00:00:00.000000000,[]
