CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,134.61538696289062,154.0,"[-0.07369059324264526, 1.5445374250411987, -0.08192179352045059, -0.06671488285064697, 2.6952402591705322, -0.08192179352045059, -0.06981081515550613, -0.07832740247249603, -0.08347196877002716, -0.07832740247249603, -0.08056007325649261, -0.07782234996557236, -0.07832740247249603]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,131.8333282470703,140.0,"[1.2183879613876343, 1.622848391532898, 2.1064517498016357, 2.2787582874298096, 2.5281171798706055, 1.2626075744628906, 5.055536270141602, 1.2645375728607178, 5.055536270141602, 2.086854934692383, 1.3023698329925537, 5.055536270141602]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,117.83333587646484,126.0,"[1.3234456777572632, 2.2779083251953125, 2.279012680053711, 2.4825916290283203, 2.736941337585449, 1.3578221797943115, 5.485778331756592, 1.3624595403671265, 5.485778331756592, 2.2593867778778076, 1.4103806018829346, 5.485778331756592]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,92.16666412353516,98.0,"[8.412522315979004, 11.630547523498535, 14.398398399353027, 15.68626594543457, 17.270252227783203, 8.687747955322266, 34.511898040771484, 8.648895263671875, 34.511898040771484, 14.276373863220215, 8.953795433044434, 34.511898040771484]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,89.83333587646484,98.0,"[3.090970993041992, 4.566096782684326, 5.082661151885986, 5.503735065460205, 6.036479949951172, 3.194678783416748, 11.761249542236328, 2.6984262466430664, 11.761249542236328, 5.041466236114502, 3.272510051727295, 11.761249542236328]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,84.0,84.0,"[2.187509059906006, 3.55814790725708, 3.610302448272705, 3.921196222305298, 4.294039249420166, 2.2435078620910645, 8.400016784667969, 8.400016784667969, 3.581678628921509, 2.315228223800659, 8.400016784667969]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,70.0,70.0,"[1.2389675378799438, 2.090510368347168, 2.0192151069641113, 2.1874473094940186, 2.3936407566070557, 1.2734884023666382, 4.641644477844238, 4.641644477844238, 2.003338098526001, 1.3094507455825806, 4.641644477844238]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,48.3636360168457,56.0,"[8.993842124938965, 12.289250373840332, 15.353606224060059, 16.71915626525879, 18.404193878173828, 9.278420448303223, 36.71828842163086, 36.71828842163086, 15.22374153137207, 9.569466590881348, 36.71828842163086]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,44.79999923706055,42.0,"[5.533881187438965, 7.55102014541626, 9.421695709228516, 10.251474380493164, 11.285390853881836, 5.714463233947754, 20.164535522460938, 9.341909408569336, 5.886748313903809, 22.472911834716797]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,28.0,28.0,"[7.138541221618652, 9.737581253051758, 12.167865753173828, 12.575178146362305, 14.58342170715332, 5.483155250549316, 14.466291427612305, 9.73499870300293, 7.591122627258301, 29.088062286376953]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
