CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,30.5454545454545,28,-1,-1,-1
-1,-1,30.5454545454545,28,-1,-1,-1
-1,-1,30.5454545454545,28,-1,-1,-1
-1,-1,33.5,35,-1,-1,-1
-1,-1,29.2727272727273,28,-1,-1,-1
-1,-1,18.9411764705882,14,-1,-1,-1
-1,-1,25.9,14,-1,-1,-1
-1,-1,24.8888888888889,14,-1,-1,-1
-1,-1,23.4230769230769,14,-1,-1,-1
-1,-1,25.6666666666667,14,-1,-1,-1
-1,-1,23.1724137931034,14,-1,-1,-1
-1,-1,22.0769230769231,14,-1,-1,-1
-1,-1,25,21,-1,-1,-1
-1,-1,23.8,14,-1,-1,-1
-1,-1,21.2592592592593,14,-1,-1,-1
-1,-1,22.5423728813559,14,-1,-1,-1
-1,-1,21.7,14,-1,-1,-1
-1,-1,24.3478260869565,14,-1,-1,-1
-1,-1,21.7142857142857,14,-1,-1,-1
-1,-1,20.8444444444444,14,-1,-1,-1
-1,-1,17.9375,14,-1,-1,-1
-1,-1,19.25,14,-1,-1,-1
-1,-1,17.5,14,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,9.33333333333333,0,-1,-1,-1
-1,-1,21,21,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,23.3333333333333,28,-1,-1,-1
-1,-1,28,28,-1,-1,-1
