CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,9.33333333333333,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,9.33333333333333,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
