CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,67.2,70,-1,-1,-1
-1,-1,77,77,-1,-1,-1
-1,-1,80.5,84,-1,-1,-1
-1,-1,80.5,84,-1,-1,-1
-1,-1,80.5,84,-1,-1,-1
-1,-1,63,63,-1,-1,-1
-1,-1,63,63,-1,-1,-1
-1,-1,35,28,-1,-1,-1
-1,-1,34.3636363636364,28,-1,-1,-1
-1,-1,34.3636363636364,28,-1,-1,-1
-1,-1,34.3636363636364,28,-1,-1,-1
-1,-1,34.3636363636364,28,-1,-1,-1
-1,-1,34.3636363636364,28,-1,-1,-1
-1,-1,32,28,-1,-1,-1
-1,-1,29.2727272727273,28,-1,-1,-1
-1,-1,32.6666666666667,28,-1,-1,-1
-1,-1,36,42,-1,-1,-1
-1,-1,32.6666666666667,28,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,45.5,49,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
