CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,49.4117647058824,42,-1,-1,-1
-1,-1,43.6470588235294,28,-1,-1,-1
-1,-1,42,28,-1,-1,-1
-1,-1,33.4444444444444,28,-1,-1,-1
-1,-1,26.8947368421053,14,-1,-1,-1
-1,-1,23.7777777777778,14,-1,-1,-1
-1,-1,29.4,28,-1,-1,-1
-1,-1,32.5161290322581,28,-1,-1,-1
-1,-1,26.88,14,-1,-1,-1
-1,-1,28.2978723404255,14,-1,-1,-1
-1,-1,28.2978723404255,14,-1,-1,-1
-1,-1,26.3030303030303,14,-1,-1,-1
-1,-1,24.9152542372881,14,-1,-1,-1
-1,-1,23.4230769230769,14,-1,-1,-1
-1,-1,22.4,14,-1,-1,-1
-1,-1,19.6,21,-1,-1,-1
-1,-1,7,7,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
