CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,45.2183908045977,28,-1,-1,-1
-1,-1,39.6136363636364,28,-1,-1,-1
-1,-1,37.6808510638298,28,-1,-1,-1
-1,-1,35.7291666666667,28,-1,-1,-1
-1,-1,34.8531468531469,28,-1,-1,-1
-1,-1,34.8531468531469,28,-1,-1,-1
-1,-1,37.8,28,-1,-1,-1
-1,-1,39.5208333333333,28,-1,-1,-1
-1,-1,42.3835616438356,28,-1,-1,-1
-1,-1,35.3181818181818,28,-1,-1,-1
-1,-1,31.0512820512821,28,-1,-1,-1
-1,-1,29.75,21,-1,-1,-1
-1,-1,32.3076923076923,14,-1,-1,-1
-1,-1,42,42,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
