CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,19.9230769230769,14,-1,-1,-1
-1,-1,18.2608695652174,14,-1,-1,-1
-1,-1,25.48,21,-1,-1,-1
-1,-1,23.3333333333333,14,-1,-1,-1
-1,-1,23.9473684210526,21,-1,-1,-1
-1,-1,23.4181818181818,14,-1,-1,-1
-1,-1,24.5393258426966,14,-1,-1,-1
-1,-1,26.6823529411765,14,-1,-1,-1
-1,-1,23.5696202531646,14,-1,-1,-1
-1,-1,30.169014084507,14,-1,-1,-1
-1,-1,26.6756756756757,21,-1,-1,-1
-1,-1,29.448275862069,28,-1,-1,-1
-1,-1,33.6,21,-1,-1,-1
-1,-1,15.75,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,21,28,-1,-1,-1
-1,-1,21,21,-1,-1,-1
-1,-1,24.5,28,-1,-1,-1
-1,-1,37.3333333333333,28,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
