CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,23.8518518518519,14,-1,-1,-1
-1,-1,23.8518518518519,14,-1,-1,-1
-1,-1,28.4516129032258,14,-1,-1,-1
-1,-1,15.3333333333333,14,-1,-1,-1
-1,-1,14.7777777777778,14,-1,-1,-1
-1,-1,22.4,14,-1,-1,-1
-1,-1,22.9090909090909,14,-1,-1,-1
-1,-1,26.1333333333333,14,-1,-1,-1
-1,-1,17,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,18.6666666666667,14,-1,-1,-1
-1,-1,33.0909090909091,42,-1,-1,-1
-1,-1,26.9230769230769,14,-1,-1,-1
-1,-1,28.6363636363636,21,-1,-1,-1
-1,-1,24.9375,14,-1,-1,-1
-1,-1,35,35,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
