CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,26.8333333333333,14,-1,-1,-1
-1,-1,30.3333333333333,14,-1,-1,-1
-1,-1,30.3333333333333,14,-1,-1,-1
-1,-1,30.3333333333333,14,-1,-1,-1
-1,-1,30.3333333333333,14,-1,-1,-1
-1,-1,30.3333333333333,14,-1,-1,-1
-1,-1,30.3333333333333,14,-1,-1,-1
-1,-1,20.3636363636364,14,-1,-1,-1
-1,-1,17.8181818181818,14,-1,-1,-1
-1,-1,12.4444444444444,14,-1,-1,-1
-1,-1,12.4444444444444,14,-1,-1,-1
-1,-1,14,7,-1,-1,-1
-1,-1,21,21,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
