CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [12  1]]",0.5339285731315613,134.61538696289062,154.0,"[3.880321979522705, 5.795576572418213, 3.4374918937683105, 4.2476372718811035, 8.818897247314453, 3.4374918937683105, 4.084616661071777, 3.6361641883850098, 3.328062057495117, 3.6361641883850098, 3.518599510192871, 3.6627583503723145, 3.6361641883850098]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,127.16666412353516,140.0,"[10.560203552246094, 10.907838821411133, 10.608278274536133, 12.510326385498047, 11.224851608276367, 19.632633209228516, 15.393280029296875, 9.43221664428711, 15.393280029296875, 10.74921989440918, 10.184953689575195, 15.393280029296875]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,116.66666412353516,126.0,"[8.901533126831055, 9.837552070617676, 9.357171058654785, 10.689648628234863, 9.932099342346191, 14.452532768249512, 13.74874496459961, 8.150575637817383, 13.74874496459961, 9.446634292602539, 8.635732650756836, 13.74874496459961]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 1 12]]",0.8626212477684021,103.83333587646484,112.0,"[9.308492660522461, 10.4602632522583, 10.006117820739746, 11.023114204406738, 10.544236183166504, 13.440818786621094, 13.993227005004883, 8.824018478393555, 13.993227005004883, 10.06091022491455, 9.201607704162598, 13.993227005004883]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,89.83333587646484,98.0,"[9.406970024108887, 9.546549797058105, 10.09447956085205, 10.657380104064941, 10.521703720092773, 9.97274398803711, 13.177664756774902, 9.189016342163086, 13.177664756774902, 10.11350154876709, 9.387775421142578, 13.177664756774902]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,84.0,84.0,"[9.207696914672852, 9.591651916503906, 9.915077209472656, 9.992774963378906, 10.196897506713867, 8.695486068725586, 11.884269714355469, 11.884269714355469, 9.895196914672852, 9.28097915649414, 11.884269714355469]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,70.0,70.0,"[10.282659530639648, 10.666728973388672, 11.012900352478027, 11.1700439453125, 11.341695785522461, 9.247781753540039, 13.327507019042969, 13.327507019042969, 11.00376033782959, 10.3738431930542, 13.327507019042969]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,56.0,56.0,"[9.63565731048584, 9.964320182800293, 10.268805503845215, 10.412833213806152, 10.559943199157715, 8.379939079284668, 12.317010879516602, 12.317010879516602, 10.260181427001953, 9.726422309875488, 12.317010879516602]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,47.599998474121094,42.0,"[9.19822883605957, 10.025514602661133, 10.332887649536133, 10.13411808013916, 10.792282104492188, 8.542224884033203, 12.757018089294434, 10.276485443115234, 9.388845443725586, 12.757018089294434]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,33.599998474121094,28.0,"[9.19857406616211, 10.033109664916992, 10.354167938232422, 10.101692199707031, 10.613297462463379, 8.60006046295166, 11.12104320526123, 10.294780731201172, 9.389822959899902, 11.12104320526123]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,19.600000381469727,14.0,"[8.732736587524414, 10.063979148864746, 10.530546188354492, 9.889665603637695, 10.873777389526367, 7.875443935394287, 12.448930740356445, 10.407918930053711, 9.092226028442383, 12.448930740356445]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 3 10]]",0.8137931227684021,10.5,14.0,"[9.067795753479004, 11.884032249450684, 10.853316307067871, 12.587618827819824, 13.85940170288086, 11.706624984741211, 9.627285957336426, 13.85940170288086]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,2.799999952316284,0.0,"[9.550336837768555, 10.527483940124512, 10.187719345092773, 8.799995422363281, 11.906575202941895]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 5  8]]",0.7897986769676208,0.0,0.0,[13.987269401550293],2023-07-03T00:00:00.000000000,['USA']
"[[70  4]
 [ 5  8]]",0.7897986769676208,-1,-1,"[[0.1978149116039276], [0.20200812816619873], [0.19689644873142242], [0.21124005317687988], [0.19689644873142242], [0.6823312044143677], [0.19965703785419464], [0.20200811326503754], [0.1979808360338211], [0.18696914613246918], [0.20226618647575378], [0.20200811326503754], [0.9561926126480103], [0.1978149116039276], [0.15617482364177704], [0.26301518082618713], [0.7626669406890869], [0.18175570666790009], [0.19015279412269592], [0.1757851094007492], [0.20200812816619873], [0.19368763267993927], [0.19583606719970703], [0.20200812816619873], [0.19176742434501648], [0.7075714468955994], [0.19689133763313293], [0.2546607255935669], [0.20200812816619873], [0.19703081250190735], [0.20200812816619873], [0.3462566137313843], [0.20200812816619873], [0.20200812816619873], [0.3125866949558258], [0.27243226766586304], [0.8314260244369507], [0.20200811326503754], [0.22713012993335724], [0.20200812816619873], [0.36440038681030273], [0.19689644873142242], [0.19469228386878967], [0.20200811326503754], [0.19734422862529755], [0.37236887216567993], [0.3012561500072479], [0.20200812816619873], [0.20200812816619873], [0.5975510478019714], [0.19418860971927643], [0.15805932879447937], [0.20200812816619873], [0.20200812816619873], [0.19583606719970703], [0.19418860971927643], [0.40884774923324585], [0.23678164184093475], [0.2005341798067093], [0.18696914613246918], [0.19997771084308624], [0.7690035700798035], [0.1990601271390915], [0.19535380601882935], [0.20200812816619873], [0.19689644873142242], [0.20200812816619873], [0.5512886047363281], [0.1985466182231903], [0.19551312923431396], [0.20200811326503754], [0.9529716372489929], [0.7577727437019348], [0.1993967890739441], [0.18957191705703735], [0.20269984006881714], [0.17674922943115234], [0.17919357120990753], [0.2053034007549286], [0.20200812816619873], [0.20226618647575378], [0.9529716372489929], [0.1990601271390915], [0.19363754987716675], [0.19689644873142242], [0.8117544651031494], [0.19483785331249237]]",2023-07-17T00:00:00.000000000,[]
