CF1,f11,MAE1,MAE2,pred,date,countries
"[[27 23]
 [ 0 37]]",0.7320926785469055,133.38888549804688,140.0,"[5.822298526763916, 4.7900567054748535, 6.335999965667725, 10.067837715148926, 7.757695198059082, 6.798943042755127, 12.198725700378418, 9.488218307495117, 8.943970680236816, 10.067838668823242, 9.97915267944336, 10.067838668823242, 7.887395858764648, 8.60031795501709, 5.528209209442139, 4.749009609222412, 12.329041481018066, 11.575166702270508, 6.408804893493652, 7.240926742553711, 13.65176773071289, 5.749117374420166, 6.097620487213135, 8.60031795501709, 8.15367603302002, 7.821322917938232, 10.067838668823242, 6.801674842834473, 10.067837715148926, 8.731932640075684, 8.812467575073242, 7.720410346984863, 10.067838668823242, 10.802163124084473, 7.846207141876221, 8.731932640075684]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 24]
 [ 0 37]]",0.7196562886238098,118.22222137451172,126.0,"[8.10067367553711, 7.412820339202881, 8.416044235229492, 12.217519760131836, 10.120372772216797, 8.866031646728516, 14.615328788757324, 12.012707710266113, 11.646448135375977, 12.217520713806152, 12.041193008422852, 12.217520713806152, 10.17803955078125, 10.697246551513672, 7.951359272003174, 7.106863498687744, 14.666227340698242, 13.872879981994629, 8.510029792785645, 10.092976570129395, 16.022905349731445, 7.853089809417725, 8.189085960388184, 10.697246551513672, 10.58902645111084, 9.919794082641602, 12.217520713806152, 8.939781188964844, 12.217519760131836, 10.866146087646484, 11.024081230163574, 10.084919929504395, 12.217520713806152, 13.241312980651855, 9.982808113098145, 10.866146087646484]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,105.38888549804688,112.0,"[8.101075172424316, 8.27049446105957, 8.160013198852539, 11.060463905334473, 9.73774528503418, 8.51264762878418, 13.069718360900879, 11.392902374267578, 11.348796844482422, 11.060465812683105, 10.809946060180664, 11.060465812683105, 9.703978538513184, 9.942935943603516, 8.14181137084961, 7.4951677322387695, 13.006631851196289, 12.405258178710938, 8.248952865600586, 10.517802238464355, 13.980735778808594, 7.758480072021484, 7.967107772827148, 9.942935943603516, 10.256708145141602, 9.369784355163574, 11.060465812683105, 8.616108894348145, 11.060463905334473, 10.105039596557617, 10.29619026184082, 9.711793899536133, 11.060465812683105, 12.179977416992188, 9.440528869628906, 10.105039596557617]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,85.94444274902344,84.0,"[11.282608985900879, 11.312018394470215, 11.095170974731445, 14.244257926940918, 13.159470558166504, 11.441802978515625, 16.865745544433594, 15.064934730529785, 15.214925765991211, 14.244258880615234, 13.808540344238281, 14.244258880615234, 13.046751022338867, 12.968311309814453, 11.487039566040039, 10.562384605407715, 16.662145614624023, 15.948927879333496, 11.221890449523926, 14.263604164123535, 17.754926681518555, 10.67907428741455, 10.886149406433105, 12.968311309814453, 13.701397895812988, 12.37696647644043, 14.244258880615234, 11.664941787719727, 14.244257926940918, 13.204333305358887, 13.530356407165527, 13.136894226074219, 14.244258880615234, 15.833033561706543, 12.508774757385254, 13.20433235168457]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,67.19999694824219,70.0,"[14.94508171081543, 14.534302711486816, 12.951987266540527, 20.937833786010742, 18.082841873168945, 15.809808731079102, 24.826862335205078, 21.129362106323242, 20.82822608947754, 20.937833786010742, 20.552528381347656, 20.937833786010742, 18.02618408203125, 18.621723175048828, 14.959193229675293, 13.638595581054688, 24.815723419189453, 23.586406707763672, 15.333850860595703, 18.79187774658203, 26.8641357421875, 14.372383117675781, 13.159462928771973, 18.621723175048828, 18.889814376831055, 17.451086044311523, 20.937833786010742, 16.01032066345215, 20.937833786010742, 18.912628173828125, 19.214874267578125, 20.937833786010742, 22.8593807220459, 17.565732955932617, 18.912628173828125]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,52.79999923706055,56.0,"[15.518743515014648, 14.196401596069336, 13.169219970703125, 22.8969783782959, 19.15134620666504, 16.950090408325195, 27.187936782836914, 22.521745681762695, 21.836729049682617, 22.896982192993164, 22.548507690429688, 22.896982192993164, 19.273178100585938, 20.217239379882812, 15.216413497924805, 13.703594207763672, 27.261058807373047, 25.854415893554688, 16.298608779907227, 18.9925594329834, 29.646610260009766, 15.109840393066406, 13.428279876708984, 20.217239379882812, 19.975095748901367, 18.839481353759766, 22.896982192993164, 17.067642211914062, 22.8969783782959, 20.520816802978516, 20.801036834716797, 22.896982192993164, 24.73140525817871, 18.94222640991211, 20.520816802978516]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,40.400001525878906,42.0,"[14.840760231018066, 13.946220397949219, 15.250905990600586, 20.120866775512695, 15.179729461669922, 15.83506965637207, 23.24518585205078, 19.902780532836914, 19.441753387451172, 20.120866775512695, 19.856006622314453, 20.120866775512695, 17.537328720092773, 18.187744140625, 14.646363258361816, 13.55032730102539, 23.286027908325195, 22.269126892089844, 15.372830390930176, 17.424423217773438, 25.004772186279297, 14.520045280456543, 14.937399864196777, 18.187744140625, 18.06272315979004, 16.406909942626953, 20.120866775512695, 15.930541038513184, 20.120866775512695, 18.41131019592285, 18.62307357788086, 20.120866775512695, 21.4798641204834, 17.275339126586914, 18.41130828857422]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,26.727272033691406,28.0,"[16.443952560424805, 18.224498748779297, 24.233049392700195, 18.005706787109375, 18.949491500854492, 28.00571632385254, 23.832733154296875, 23.20279884338379, 24.233049392700195, 23.942380905151367, 24.233049392700195, 20.980865478515625, 21.851505279541016, 17.371807098388672, 16.03948211669922, 28.087520599365234, 26.84046745300293, 18.368389129638672, 20.66519546508789, 30.179248809814453, 17.31507110595703, 17.838558197021484, 21.851505279541016, 21.58621597290039, 19.63216209411621, 24.233049392700195, 24.233049392700195, 22.11484718322754, 22.350299835205078, 24.233049392700195, 25.812883377075195, 20.707962036132812, 22.11484718322754]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,16.625,14.0,"[14.599935531616211, 17.090269088745117, 21.776105880737305, 16.40401840209961, 17.665685653686523, 24.524572372436523, 21.154090881347656, 20.518468856811523, 21.776105880737305, 21.63463020324707, 21.776105880737305, 19.08742904663086, 19.927183151245117, 15.889469146728516, 14.639892578125, 24.662471771240234, 23.707874298095703, 17.187057495117188, 18.42409896850586, 26.311613082885742, 16.362838745117188, 16.79131507873535, 19.927183151245117, 19.45808219909668, 18.144136428833008, 21.776105880737305, 20.10308837890625, 20.22579002380371, 21.776105880737305, 22.779420852661133, 18.993350982666016, 20.103090286254883]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,7.933333396911621,14.0,"[16.585678100585938, 18.67894172668457, 22.869977951049805, 18.20039176940918, 19.19193458557129, 25.36034393310547, 22.365028381347656, 21.82046890258789, 22.86998176574707, 22.72930908203125, 22.86998176574707, 21.214906692504883, 17.700912475585938, 16.525630950927734, 25.47139549255371, 24.614622116088867, 18.768068313598633, 19.966394424438477, 26.956668853759766, 18.031343460083008, 18.41122055053711, 21.214906692504883, 20.83883285522461, 19.62881088256836, 22.869977951049805, 21.377126693725586, 21.496971130371094, 22.86998176574707, 23.805282592773438, 20.38665199279785]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
