pangoLineage,country,date,count,prev,days_to_prev,pangoLineage2,prevsO,Day,B
20A.EU1,Denmark,2020-08-03,21,3,0,20A.EU2,0.75,28,1
20A.EU1,Denmark,2020-08-17,67,1.42553191489362,0,20A.EU2,0.587719298245614,42,1
20A.EU1,Denmark,2020-08-31,262,1.48022598870056,0,20A.EU2,0.596810933940774,56,1
20A.EU1,Denmark,2020-09-14,482,1.9203187250996,0,20A.EU2,0.657571623465211,70,1
20A.EU1,Denmark,2020-09-28,252,1.78723404255319,0,20A.EU2,0.641221374045801,84,1
20A.EU1,Denmark,2020-10-12,327,1.15140845070423,0,20A.EU2,0.53518821603928,98,1
20A.EU1,Denmark,2020-10-26,961,2.34390243902439,0,20A.EU2,0.700948212983224,112,1
20A.EU1,Denmark,2020-11-09,1082,3.29878048780488,0,20A.EU2,0.765746638358103,126,1
20A.EU1,Denmark,2020-11-23,2328,4.61904761904762,0,20A.EU2,0.81885332395357,140,1
20A.EU1,Denmark,2020-12-07,5006,5.22002085505735,0,20A.EU2,0.832114361702128,154,1
20A.EU1,Denmark,2020-12-21,4515,6.67899408284024,0,20A.EU2,0.846298031865042,168,1
20A.EU1,Denmark,2021-01-04,4987,6.72102425876011,0,20A.EU2,0.80500403551251,182,1
20A.EU1,Denmark,2021-01-18,3455,3.62159329140461,0,20I.Alpha.V1,0.706688484352628,196,1
20A.EU1,Denmark,2021-02-01,1511,0.957541191381496,0,20I.Alpha.V1,0.449970220369267,210,1
20A.EU1,Switzerland,2020-08-03,23,23,0,20A.EU2,0.958333333333333,28,1
20A.EU1,Switzerland,2020-08-17,59,1.59459459459459,0,20A.EU2,0.614583333333333,42,1
20A.EU1,Switzerland,2020-08-31,95,1.50793650793651,0,20A.EU2,0.60126582278481,56,1
20A.EU1,Switzerland,2020-09-28,130,1.36842105263158,0,20A.EU2,0.577777777777778,84,1
20A.EU1,Switzerland,2020-10-12,371,1.66367713004484,0,20A.EU2,0.624579124579125,98,1
20A.EU1,Switzerland,2020-10-26,467,0.882797731568998,0,20A.EU2,0.468875502008032,112,1
20A.EU1,Switzerland,2020-11-09,437,0.916142557651992,0,20A.EU2,0.471922246220302,126,1
20A.EU1,Switzerland,2020-11-23,318,0.828125,0,20A.EU2,0.447257383966245,140,1
20A.EU1,Switzerland,2020-12-07,650,1.13240418118467,0,20A.EU2,0.524193548387097,154,1
20A.EU1,Switzerland,2020-12-21,799,1.12061711079944,0,20A.EU2,0.485714285714286,168,1
20A.EU1,Switzerland,2021-01-04,972,1.07522123893805,0,20A.EU2,0.438035150968905,182,1
