pangoLineage,country,date,count,prev,days_to_prev,pangoLineage2,prevsO,Day,B,S,,,,,
20A.EU1,Denmark,8/3/2020,21,3,0,20A.EU2,0.75,28,1,0.012073372,,,,,
20A.EU1,Denmark,8/17/2020,67,1.425531915,0,20A.EU2,0.587719298,42,1,0.006367781,,,,,
20A.EU1,Denmark,8/31/2020,262,1.480225989,0,20A.EU2,0.596810934,56,1,0,,,,,
20A.EU1,Denmark,9/14/2020,482,1.920318725,0,20A.EU2,0.657571623,70,1,0.009225498,,,,,
20A.EU1,Denmark,9/28/2020,252,1.787234043,0,20A.EU2,0.641221374,84,1,0.002650244,,,,,
20A.EU1,Denmark,10/12/2020,327,1.151408451,0,20A.EU2,0.535188216,98,1,0.000517999,,,,,
20A.EU1,Denmark,10/26/2020,961,2.343902439,0,20A.EU2,0.700948213,112,1,0.004689888,,,,,
20A.EU1,Denmark,11/9/2020,1082,3.298780488,0,20A.EU2,0.765746638,126,1,0.154078433,,,,,
20A.EU1,Denmark,11/23/2020,2328,4.619047619,0,20A.EU2,0.818853324,140,1,0.181829139,,,,,
20A.EU1,Denmark,12/7/2020,5006,5.220020855,0,20A.EU2,0.832114362,154,1,0.077323376,,,,,
20A.EU1,Denmark,12/21/2020,4515,6.678994083,0,20A.EU2,0.846298032,168,1,0.068805617,,,,,
20A.EU1,Denmark,1/4/2021,4987,6.721024259,0,20A.EU2,0.805004036,182,1,0.08091076,,,,,
20A.EU1,Denmark,1/18/2021,3455,3.621593291,0,20I.Alpha.V1,0.706688484,196,1,0.075985751,,,,,
20A.EU1,Switzerland,8/3/2020,23,23,0,20A.EU2,0.958333333,28,1,0.012073372,,,,,
20A.EU1,Switzerland,8/17/2020,59,1.594594595,0,20A.EU2,0.614583333,42,1,0.006367781,,,,,
20A.EU1,Switzerland,8/31/2020,95,1.507936508,0,20A.EU2,0.601265823,56,1,0,,,,,
20A.EU1,Switzerland,9/28/2020,130,1.368421053,0,20A.EU2,0.577777778,84,1,0.002650244,,,,,
20A.EU1,Switzerland,10/12/2020,371,1.66367713,0,20A.EU2,0.624579125,98,1,0.000517999,,,,,
20A.EU1,Switzerland,12/7/2020,650,1.132404181,0,20A.EU2,0.524193548,154,1,0.077323376,,,,,
20A.EU1,Switzerland,12/21/2020,799,1.120617111,0,20A.EU2,0.485714286,168,1,0.068805617,,,,,
20A.EU1,Switzerland,1/4/2021,972,1.075221239,0,20A.EU2,0.438035151,182,1,0.08091076,,,,,
20A.EU1,United Kingdom,8/3/2020,163,9.055555556,0,20A.EU2,0.900552486,28,1,0.012073372,,,,,
20A.EU1,United Kingdom,8/17/2020,875,4.807692308,0,20A.EU2,0.82781457,42,1,0.006367781,,,,,
20A.EU1,United Kingdom,8/31/2020,1862,9.172413793,0,20A.EU2,0.901694915,56,1,0,,,,,
20A.EU1,United Kingdom,9/14/2020,4507,20.21076233,0,20A.EU2,0.952250158,70,1,0.009225498,,,,,
20A.EU1,United Kingdom,9/28/2020,6483,18.84593023,0,20A.EU2,0.948639157,84,1,0.002650244,,,,,
20A.EU1,United Kingdom,10/12/2020,10302,22.69162996,0,20A.EU2,0.954595997,98,1,0.000517999,,,,,
20A.EU1,United Kingdom,10/26/2020,12173,28.30930233,0,20A.EU2,0.939854849,112,1,0.004689888,,,,,
20A.EU1,United Kingdom,11/9/2020,12183,8.683535282,0,20I.Alpha.V1,0.867487895,126,1,0.154078433,,,,,
20A.EU1,United Kingdom,11/23/2020,5899,5.56509434,0,20I.Alpha.V1,0.833898784,140,1,0.181829139,,,,,
20A.EU1,United Kingdom,12/7/2020,10653,1.233842946,0,20I.Alpha.V1,0.545580252,154,1,0.077323376,,,,,
20A.EU1,Netherlands,8/3/2020,0,0,14,20A.EU2,0.892857143,28,1,0.012073372,,,,,
20A.EU1,Netherlands,8/17/2020,25,8.333333333,0,20A.EU2,0.892857143,42,1,0.006367781,,,,,
20A.EU1,Netherlands,8/31/2020,33,4.714285714,0,20A.EU2,0.825,56,1,0,,,,,
20A.EU1,Netherlands,9/14/2020,83,5.1875,0,20A.EU2,0.838383838,70,1,0.009225498,,,,,
20A.EU1,Netherlands,9/28/2020,99,2.106382979,0,20A.EU2,0.678082192,84,1,0.002650244,,,,,
20A.EU1,Netherlands,10/12/2020,153,2.637931034,0,20A.EU2,0.725118483,98,1,0.000517999,,,,,
20A.EU1,Netherlands,10/26/2020,201,4.102040816,0,20A.EU2,0.804,112,1,0.004689888,,,,,
20A.EU1,Netherlands,11/9/2020,223,4.288461538,0,20A.EU2,0.807971014,126,1,0.154078433,,,,,
20A.EU1,Netherlands,11/23/2020,231,3.08,0,20A.EU2,0.747572816,140,1,0.181829139,,,,,
20A.EU1,Netherlands,12/7/2020,332,3.32,0,20A.EU2,0.723311547,154,1,0.077323376,,,,,
20A.EU1,Netherlands,12/21/2020,429,2.979166667,0,20I.Alpha.V1,0.599162011,168,1,0.068805617,,,,,
20A.EU1,Netherlands,1/4/2021,684,2.35862069,0,20I.Alpha.V1,0.569525396,182,1,0.08091076,,,,,
20A.EU1,Netherlands,1/18/2021,734,1.366852886,0,20I.Alpha.V1,0.498302783,196,1,0.075985751,,,,,
20A.EU1,Germany,8/3/2020,0,0,14,20A.EU2,0.615384615,28,1,0.012073372,,,,,
20A.EU1,Germany,8/17/2020,16,1.6,0,20A.EU2,0.615384615,42,1,0.006367781,,,,,
20A.EU1,Germany,9/14/2020,49,4.083333333,0,20A.EU2,0.803278689,70,1,0.009225498,,,,,
20A.EU1,Germany,9/28/2020,60,10,0,20A.EU2,0.909090909,84,1,0.002650244,,,,,
20A.EU1,Germany,10/12/2020,60,2.5,0,20A.EU2,0.714285714,98,1,0.000517999,,,,,
20A.EU1,Germany,10/26/2020,64,2,0,20A.EU2,0.659793814,112,1,0.004689888,,,,,
20A.EU1,Germany,11/9/2020,105,3.387096774,0,20A.EU2,0.772058824,126,1,0.154078433,,,,,
20A.EU1,Germany,11/23/2020,177,4.657894737,0,20A.EU2,0.811926606,140,1,0.181829139,,,,,
20A.EU1,Germany,12/7/2020,239,4.192982456,0,20A.EU2,0.788778878,154,1,0.077323376,,,,,
20A.EU1,Germany,12/21/2020,203,3.5,0,20A.EU2,0.692832765,168,1,0.068805617,,,,,
20A.EU1,Germany,1/4/2021,563,3.475308642,0,20A.EU2,0.660798122,182,1,0.08091076,,,,,
20A.EU1,Germany,1/18/2021,1617,2.230344828,0,20I.Alpha.V1,0.56796628,196,1,0.075985751,,,,,
20A.EU1,Spain,8/3/2020,0,0,28,20A.EU2,0.997429306,28,1,0.012073372,,,,,
20A.EU1,Spain,8/17/2020,0,0,14,20A.EU2,0.997429306,42,1,0.006367781,,,,,
20A.EU1,Spain,8/31/2020,388,388,0,20A.EU2,0.997429306,56,1,0,,,,,
20A.EU1,Spain,9/14/2020,367,30.58333333,0,20A.EU2,0.968337731,70,1,0.009225498,,,,,
20A.EU1,Spain,9/28/2020,517,129.25,0,20A.EU2,0.992322457,84,1,0.002650244,,,,,
20A.EU1,Spain,10/12/2020,410,58.57142857,0,20A.EU2,0.980861244,98,1,0.000517999,,,,,
20A.EU1,Spain,10/26/2020,316,39.5,0,20A.EU2,0.951807229,112,1,0.004689888,,,,,
20A.EU1,Spain,11/9/2020,343,85.75,0,20A.EU2,0.974431818,126,1,0.154078433,,,,,
20A.EU1,Spain,11/23/2020,430,26.875,0,20A.EU2,0.96196868,140,1,0.181829139,,,,,
20A.EU1,Spain,12/7/2020,929,30.96666667,0,20A.EU2,0.961697723,154,1,0.077323376,,,,,
20A.EU1,Spain,12/21/2020,1069,5.538860104,0,20I.Alpha.V1,0.817278287,168,1,0.068805617,,,,,
20A.EU1,Spain,1/4/2021,981,1.320323015,0,20I.Alpha.V1,0.553924337,182,1,0.08091076,,,,,
20A.EU1,Spain,1/18/2021,1764,2.046403712,0,20I.Alpha.V1,0.650202728,196,1,0.075985751,,,,,
20A.EU1,Spain,2/1/2021,1326,1.125636672,0,20I.Alpha.V1,0.507268554,210,1,0.063385571,,,,,
20A.EU1,Italy,8/3/2020,0,0,28,20A.EU2,0.895348837,28,1,0.012073372,,,,,
20A.EU1,Italy,8/17/2020,0,0,14,20A.EU2,0.895348837,42,1,0.006367781,,,,,
20A.EU1,Italy,8/31/2020,77,8.555555556,0,20A.EU2,0.895348837,56,1,0,,,,,
20A.EU1,Italy,9/14/2020,108,15.42857143,0,20A.EU2,0.939130435,70,1,0.009225498,,,,,
20A.EU1,Italy,9/28/2020,89,22.25,0,20A.EU2,0.946808511,84,1,0.002650244,,,,,
20A.EU1,Italy,10/12/2020,142,12.90909091,0,20A.EU2,0.91025641,98,1,0.000517999,,,,,
20A.EU1,Italy,10/26/2020,285,5.377358491,0,20A.EU2,0.838235294,112,1,0.004689888,,,,,
20A.EU1,Italy,11/9/2020,177,9.833333333,0,20A.EU2,0.898477157,126,1,0.154078433,,,,,
20A.EU1,Italy,11/23/2020,195,13,0,20A.EU2,0.919811321,140,1,0.181829139,,,,,
20A.EU1,Italy,12/7/2020,437,7.406779661,0,20A.EU2,0.829222011,154,1,0.077323376,,,,,
