pangoLineage,country,date,count,prev,days_to_prev,pangoLineage2,Day,B
20A.EU1,Denmark,2020-08-03,21,3,0,20A.EU2,28,1
20A.EU1,Denmark,2020-08-17,67,1.42553191489362,0,20A.EU2,42,1
20A.EU1,Denmark,2020-08-31,262,1.48022598870056,0,20A.EU2,56,1
20A.EU1,Denmark,2020-09-14,482,1.9203187250996,0,20A.EU2,70,1
20A.EU1,Denmark,2020-09-28,252,1.78723404255319,0,20A.EU2,84,1
20A.EU1,Denmark,2020-10-12,327,1.15140845070423,0,20A.EU2,98,1
20A.EU1,Denmark,2020-10-26,961,2.34390243902439,0,20A.EU2,112,1
20A.EU1,Denmark,2020-11-09,1082,3.29878048780488,0,20A.EU2,126,1
20A.EU1,Denmark,2020-11-23,2328,4.61904761904762,0,20A.EU2,140,1
20A.EU1,Denmark,2020-12-07,5006,5.22002085505735,0,20A.EU2,154,1
20A.EU1,Denmark,2020-12-21,4516,6.68047337278106,0,20A.EU2,168,1
20A.EU1,Denmark,2021-01-04,4988,6.72237196765499,0,20A.EU2,182,1
20A.EU1,Denmark,2021-01-18,3458,3.62473794549266,0,20I.Alpha.V1,196,1
20A.EU1,Denmark,2021-02-01,1511,0.957541191381496,0,20I.Alpha.V1,210,1
20A.EU1,United Kingdom,2020-08-03,163,9.05555555555556,0,20A.EU2,28,1
20A.EU1,United Kingdom,2020-08-17,875,4.78142076502732,0,20A.EU2,42,1
20A.EU1,United Kingdom,2020-08-31,1862,9.17241379310345,0,20A.EU2,56,1
20A.EU1,United Kingdom,2020-09-14,4507,20.2107623318386,0,20A.EU2,70,1
20A.EU1,United Kingdom,2020-09-28,6486,18.8546511627907,0,20A.EU2,84,1
20A.EU1,United Kingdom,2020-10-12,10302,22.6916299559471,0,20A.EU2,98,1
20A.EU1,United Kingdom,2020-10-26,12317,28.5777262180974,0,20A.EU2,112,1
20A.EU1,United Kingdom,2020-11-09,12187,8.6863863150392,0,20I.Alpha.V1,126,1
20A.EU1,United Kingdom,2020-11-23,5901,5.56698113207547,0,20I.Alpha.V1,140,1
20A.EU1,United Kingdom,2020-12-07,10696,1.23767646378153,0,20I.Alpha.V1,154,1
20A.EU1,United Kingdom,2020-12-21,5650,0.477962947297183,0,20I.Alpha.V1,168,1
20A.EU1,Switzerland,2020-08-03,23,23,0,20A.EU2,28,1
20A.EU1,Switzerland,2020-08-17,59,1.59459459459459,0,20A.EU2,42,1
20A.EU1,Switzerland,2020-08-31,95,1.50793650793651,0,20A.EU2,56,1
20A.EU1,Switzerland,2020-09-28,130,1.36842105263158,0,20A.EU2,84,1
20A.EU1,Switzerland,2020-10-12,372,1.66816143497758,0,20A.EU2,98,1
20A.EU1,Switzerland,2020-10-26,467,0.882797731568998,0,20A.EU2,112,1
20A.EU1,Switzerland,2020-11-09,437,0.916142557651992,0,20A.EU2,126,1
20A.EU1,Switzerland,2020-11-23,319,0.830729166666667,0,20A.EU2,140,1
20A.EU1,Switzerland,2020-12-07,650,1.12847222222222,0,20A.EU2,154,1
20A.EU1,Switzerland,2020-12-21,800,1.12044817927171,0,20A.EU2,168,1
