variant,S
20A.EU1,0.0828174798623852
20A.EU2,0.115593449234808
20A.S.126A,0.0512402866685919
20A.S.210T,0.0861973936233006
20B.S.732A,0.0426889108909827
20B.S.796H,0
20H.Beta.V2,0.0477028269968414
20I.Alpha.V1,0.0764920205973812
20J.Gamma.V3,0.0452916355971163
21A.21B,0.0823805072026884
21A.Delta,0.0540246005157238
21A.Delta.S.K417,0.204513218538563
21B.Kappa,0.0826640233578215
21C.Epsilon,0.079550744389509
21D.Eta,0.0433930418098753
21F.Iota,0.0396382185048045
21G.Lambda,0.0487297215416969
21H.Mu,0.0370512448696826
21I.Delta,0.0553766935107895
21J.Delta,0.0817943144063622
21K.21L,0.150575680905186
21K.Omicron,0.163296515659259
21L.Omicron,0.141551187064245
22A.Omicron,0.184266599949792
22B.Omicron,0.209316977198399
22B22E,0.21020039015997
22C.Omicron,0.183468044222384
22D.Omicron,0.240791085371269
22E.Omicron,0.209558384632745
22F.Omicron,0.240142562767112
23A.Omicron,0.260492017924665
23B.Omicron,0.290544262886022
